strategy,mean,min,median,max,neg
overlay0.85+scoreprop300.03+scoreprop400.12,0.02310804177931254,0.004346909733828105,0.022036390257964958,0.04402440725004239,0
overlay0.85+adaptive0.03+scoreprop500.12,0.023082765846020918,0.004641500513819542,0.02282569939890597,0.04430631705764998,0
overlay0.85+adaptive0.05+target30.10,0.02308015204006648,0.005976685287213991,0.02027786346647356,0.04397678668171462,0
overlay0.90+lightgbm0.03+target30.07,0.023075909059584003,0.005767624495277242,0.02120145685490704,0.044018324197167,0
overlay_0.85+scoreprop40_0.15,0.023068970002541614,0.004401159052093248,0.022157829491816577,0.0441017342283469,0
overlay0.85+scoreprop300.08+scoreprop500.07,0.023068385064082444,0.00440732321479792,0.02203948939645474,0.04376655362972784,0
overlay0.90+tuned_xgb0.03+scoreprop500.07,0.023066215973319752,0.004749522221441073,0.022852139000868674,0.044500288296135906,0
overlay0.90+lightgbm0.08+scoreprop400.02,0.023065427033148088,0.005072131180196775,0.022721396945865807,0.044142376089437746,0
overlay0.75+adaptive0.08+scoreprop300.17,0.023060345777187706,0.00404084727100628,0.02078733728125834,0.04370596510950739,0
overlay0.90+baseline_xgb0.03+scoreprop500.07,0.02304693335798973,0.004614722905994115,0.023275003820737494,0.04404686665779459,0
overlay0.85+target30.05+scoreprop300.10,0.02303976738307289,0.004875056603770744,0.020558824636582762,0.0433675506953419,0
overlay0.90+lightgbm0.05+target30.05,0.023035285595843905,0.00559912576462946,0.0216438636960119,0.04402903789573728,0
adaptive,0.023033727874567804,0.003907889575511657,0.019675468037767166,0.04446430609009536,0
overlay0.85+tuned_xgb0.03+scoreprop300.12,0.02302159605218283,0.004304969490573553,0.021319417332877066,0.043736398352614,0
overlay0.80+adaptive0.08+scoreprop500.12,0.023020291740276828,0.004592066664803912,0.022565716272129777,0.044244812469966976,0
overlay0.90+lightgbm0.08+scoreprop500.02,0.02301903119254302,0.005111551692677713,0.022827131140477824,0.04412830316819877,0
overlay0.80+adaptive0.10+target30.10,0.02301767833973116,0.005927251438198361,0.02001788033969734,0.04391528574289014,0
overlay0.90+adaptive0.03+tuned_xgb0.07,0.023017647652265345,0.004765042537882784,0.02254915596471911,0.044767250604217046,0
overlay0.90+tuned_xgb0.05+scoreprop400.05,0.023014111133995374,0.004705919193091185,0.022398474510055694,0.044527381706761474,0
overlay0.80+adaptive0.05+scoreprop400.15,0.023006100171701214,0.004351175315256306,0.021896608447045857,0.044039883421423384,0
overlay0.90+baseline_xgb0.05+scoreprop300.05,0.023003491467163774,0.004317151612349426,0.022830943557567235,0.043303672154304695,0
overlay0.85+lightgbm0.05+scoreprop300.10,0.022991388021056706,0.004636053783938859,0.021381747995592282,0.04366139011312499,0
overlay0.85+scoreprop400.10+scoreprop500.05,0.022988852745073538,0.004470988661819025,0.02230392025647876,0.04404910029273508,0
overlay0.90+lightgbm0.08+target30.02,0.02298830713432851,0.005346202107032946,0.022307473957669216,0.0440451793481999,0
overlay0.85+target30.03+scoreprop400.12,0.022986309288251672,0.004778770295219989,0.021463697098821746,0.04391180674117198,0
overlay0.85+scoreprop300.05+scoreprop500.10,0.022980595658688905,0.004502822331116263,0.022248658854452374,0.043808351001555945,0
overlay_0.80+scoreprop30_0.20,0.022969503802994912,0.003976104778910083,0.020726685705601502,0.04351479450608571,0
overlay_0.90+lightgbm_0.10,0.02296111377326335,0.005174496069128641,0.02274988079877402,0.04402496647372371,0
overlay0.85+scoreprop400.08+scoreprop500.07,0.02296019370676758,0.004496545067352045,0.022375942199590715,0.04402532121901073,0
overlay0.85+adaptive0.08+tuned_xgb0.07,0.022956047786646963,0.004723921409145751,0.022289172837942905,0.04470530142864751,0
overlay0.75+adaptive0.15+target30.10,0.022955204639395793,0.005877817589182724,0.019929796655590623,0.04385378480406518,0
overlay0.90+adaptive0.03+baseline_xgb0.07,0.02294819194972704,0.004516073310621524,0.0235358405444131,0.043651681827992006,0
overlay0.90+baseline_xgb0.05+scoreprop400.05,0.022946799924040955,0.004434265041278446,0.0231032492098371,0.043665161189416074,0
overlay0.90+tuned_xgb0.03+target30.07,0.02294332520538846,0.0056529844240014795,0.021033338861038364,0.044109769597943174,0
overlay0.75+adaptive0.10+scoreprop400.15,0.022943229673531712,0.004301186988477701,0.021635387402275164,0.04397803261449901,0
overlay0.90+baseline_xgb0.03+target30.07,0.022928716134947444,0.005536896389625123,0.021456203680907227,0.043675494876400434,0
overlay0.85+scoreprop300.03+scoreprop500.12,0.02292502352006249,0.0045411336946636766,0.022413433017620624,0.04385985464834405,0
overlay0.85+lightgbm0.03+scoreprop400.12,0.02291692060790784,0.004625096701028425,0.02201394919842141,0.043927645914416724,0
overlay0.85+scoreprop400.05+scoreprop500.10,0.02291555919705051,0.0045353279530054025,0.022506206049043243,0.04400256645325644,0
overlay0.85+target30.05+scoreprop400.10,0.02291249872433102,0.0050810621628049335,0.021027383107127373,0.04378546101566769,0
overlay0.75+adaptive0.05+scoreprop300.20,0.022912146245467176,0.0039327482491087334,0.02046149199329403,0.04348428900100429,0
overlay0.90+tuned_xgb0.05+scoreprop500.05,0.022909077703051835,0.00478361939778818,0.022662809996585778,0.04446525987442315,0
overlay0.85+baseline_xgb0.03+scoreprop300.12,0.022908674097621026,0.004110448956910581,0.02181364125839841,0.04283626972263932,0
overlay0.85+target30.08+scoreprop300.07,0.022903158315605063,0.005369486726435876,0.020043751902500268,0.04330366884487977,0
overlay0.85+adaptive0.05+lightgbm0.10,0.02289935299551551,0.005132531928207951,0.022489897671997827,0.04396241213009157,0
overlay0.85+adaptive0.08+baseline_xgb0.07,0.022885718249393297,0.004466639461605894,0.02327585741763688,0.04359018088918171,0
overlay0.85+scoreprop400.03+scoreprop500.12,0.022879087877684,0.004562570968263985,0.022596827911014195,0.04399606260909912,0
overlay_0.92+tuned_xgb_0.08,0.0228783758037398,0.0047742882534865805,0.02253325972248274,0.04467623083393618,0
overlay0.85+adaptive0.03+target30.12,0.022877026292032327,0.00622236934290131,0.019968743800800583,0.04367017960809104,0
overlay0.90+baseline_xgb0.05+scoreprop500.05,0.022868898697926177,0.00455205254643809,0.023367584696367197,0.043698898605113584,0
overlay0.80+adaptive0.03+scoreprop400.17,0.022867858817278267,0.004304001649408543,0.021766334405396492,0.04385088005366386,0
overlay0.80+scoreprop300.15+scoreprop400.05,0.022863354298613206,0.004022056356204062,0.020970452803081255,0.04337321297021071,0
overlay0.90+lightgbm0.08+tuned_xgb0.02,0.022863305104190906,0.0050834098744379635,0.02263780213619493,0.0441301869250634,0
overlay0.80+adaptive0.10+lightgbm0.10,0.02283711202298503,0.005090597528319286,0.022229914545221593,0.043895506292383674,0
overlay_0.85+scoreprop50_0.15,0.0228291562806494,0.004614809390080084,0.02275002442648974,0.04400541849544859,0
overlay0.85+tuned_xgb0.05+scoreprop300.10,0.022828777712775923,0.004388123738257893,0.021176203703320434,0.0437922560741042,0
overlay0.85+lightgbm0.08+scoreprop300.07,0.02282339050609153,0.004882925353294876,0.02156027468194814,0.043532318836707745,0
overlay0.85+lightgbm0.05+scoreprop400.10,0.022820200349124353,0.004776773001301339,0.022028227599170044,0.04379914452701203,0
overlay0.80+adaptive0.08+target30.12,0.022814552591696898,0.006172935493885673,0.019956825222445865,0.043608678669265544,0
overlay0.90+tuned_xgb0.05+target30.05,0.022812745747122658,0.005403626934702879,0.02136366703956416,0.044181748011859395,0
overlay0.85+tuned_xgb0.03+scoreprop400.12,0.0228121489540807,0.004484246340980699,0.021864705984747324,0.0440323969605283,0
overlay0.85+target30.08+scoreprop400.07,0.022808066836289834,0.005534359748664355,0.02037376146076153,0.043596349919623384,0
overlay0.85+target30.10+scoreprop300.05,0.022806200917899647,0.005719097539105281,0.0197019026080512,0.04326142242492656,0
overlay0.75+adaptive0.08+scoreprop400.17,0.022804946989606636,0.004253960387629235,0.021504947413620107,0.043788982296643505,0
