strategy,top_k,mean,sum,median,min,max,negative_windows
ret_20d_high,30,-0.003032393600443724,-0.027291542403993514,-0.004554610459190804,-0.04575778935203892,0.033938157490245355,5
high_low_range_low,70,-0.003037255287416186,-0.027335297586745674,-0.0009453199499571355,-0.05252263451289752,0.027532833392102874,5
volume_z_20d_high,30,-0.0030423557268780856,-0.02738120154190277,0.005458589247777485,-0.046210797508536613,0.028633828461354954,4
turnover_z_20d_high,30,-0.003050901650799681,-0.027458114857197128,0.005458589247777486,-0.04628771082383097,0.028633828461354954,4
ret_10d_high,100,-0.00314304565142179,-0.028287410862796108,-0.00328690181127006,-0.03822719755551624,0.036494007943954916,6
close_over_ma20_high,100,-0.0031566072050022063,-0.028409464845019855,0.0013013358803390315,-0.04167805680760446,0.02899536173413897,4
ret_3d_low,50,-0.0032302967555130338,-0.029072670799617305,8.223341288306901e-05,-0.049261003822126795,0.02240567793990368,4
reversal_3d_high,50,-0.0032302967555130338,-0.029072670799617305,8.223341288306901e-05,-0.049261003822126795,0.02240567793990368,4
close_pos_20d_high,150,-0.00324033296790758,-0.029162996711168218,-0.00031180312059935975,-0.04661012416229665,0.02662184216467693,5
mom_accel_5_20_high,70,-0.0032652014819773314,-0.029386813337795983,-0.0010817066244565646,-0.04557408156066735,0.017385185853122997,5
mom_accel_5_20_high,40,-0.003387455401748715,-0.030487098615738437,0.00041570834354819064,-0.051495108905273715,0.01717993683009627,3
close_pos_20d_high,100,-0.003491664751783906,-0.031424982766055154,-0.00015601943585301023,-0.050927262504619306,0.03194490859573648,5
vol_5d_low,100,-0.0035295271629118916,-0.03176574446620702,-0.0011045343222375395,-0.045814686045123496,0.0279471274859518,5
high_low_range_low,100,-0.003624961258445686,-0.032624651326011174,-0.0006933022626262261,-0.05044287158786191,0.025447243958177997,5
ret_5d_high,150,-0.003639114569724435,-0.03275203112751991,0.0003334242735866279,-0.040414631099223816,0.02388197697166969,4
close_over_ma20_high,50,-0.0037020903591965617,-0.03331881323276906,-0.006450640446770458,-0.05226142590730867,0.04052275974821569,5
vol_20d_low,50,-0.0037949928837251387,-0.03415493595352625,0.0017954238653903791,-0.05568222562330919,0.02788707522163718,4
vol_20d_low,40,-0.0038150840176949005,-0.034335756159254105,0.0019406274469761283,-0.05578592111762161,0.02844429164170948,4
vol_20d_low,70,-0.0038186238860070587,-0.03436761497406353,0.0018089705868461698,-0.05482293654761853,0.027690091727091398,4
high_low_range_low,150,-0.0038981702612738037,-0.03508353235146423,-0.0030486169587063457,-0.04720427002201508,0.02362775788935894,5
close_over_ma20_high,70,-0.003923281605097484,-0.03530953444587736,-0.00327297095038789,-0.044440151567002165,0.03423487194537377,5
vol_5d_low,150,-0.003925354298498609,-0.03532818868648748,-0.0015330161187251737,-0.043448871446083275,0.026400075251624373,5
vol_5d_low,30,-0.003940357971353279,-0.035463221742179515,0.004447269856395174,-0.049975042279550214,0.03343466228048868,4
vol_20d_low,100,-0.0040233569901626685,-0.036210212911464014,0.0005628408095258693,-0.05302025672419441,0.02698201398625788,4
close_pos_20d_high,70,-0.004047458333150294,-0.03642712499835265,-0.0003364438399813558,-0.05783994667064115,0.037080353646142386,5
ret_3d_low,40,-0.004049513893615732,-0.03644562504254159,-0.0005498401698896815,-0.05379072056302753,0.023833910312724402,5
reversal_3d_high,40,-0.004049513893615732,-0.03644562504254159,-0.0005498401698896815,-0.05379072056302753,0.023833910312724402,5
ret_1d_high,150,-0.004105337016030578,-0.0369480331442752,0.0037758488077198494,-0.0386223742477068,0.01359469661389169,4
vol_5d_low,70,-0.004109029092060885,-0.03698126182854797,0.0010553990306987338,-0.04927330629565213,0.02884099976435522,4
mom_accel_5_20_high,50,-0.0041231202222595815,-0.03710808200033623,-0.000632341608889718,-0.04908560927862385,0.01754984988157455,5
ret_10d_high,70,-0.004265739349139887,-0.03839165414225899,-0.0023008907681967075,-0.044113765509379066,0.03842281737443186,5
amplitude_ma_20d_low,100,-0.004308473609789753,-0.038776262488107775,-0.0005094063504892631,-0.05189594015912904,0.02673479734802135,5
vol_20d_low,30,-0.00432085112184379,-0.03888766009659411,0.0009093461260322811,-0.056365527388483064,0.028330038904236878,4
overnight_ret_low,30,-0.0043261985940967656,-0.03893578734687089,4.190098611850379e-05,-0.03863601882671716,0.014699420451071584,4
vol_20d_low,150,-0.00434676422687283,-0.03912087804185547,-0.001815964490221299,-0.04961014397240364,0.026845511759158135,5
volume_z_20d_high,100,-0.004361544460110192,-0.039253900140991733,0.0025539905739246863,-0.04206162181669991,0.021261522150003598,4
amplitude_ma_20d_low,70,-0.004364795604515809,-0.039283160440642284,-0.0007815200044147264,-0.05449359677279264,0.027199815440849533,5
amount_z_20d_low,30,-0.004395138436634519,-0.03955624592971067,-0.005070938113308679,-0.032362996544176986,0.02679206694726304,5
turnover_z_20d_high,100,-0.004404535972631303,-0.03964082375368173,0.002657371994548463,-0.042214480654136084,0.02163739356725613,4
amount_z_20d_high,100,-0.004445896459507098,-0.04001306813556388,0.0003945622011230082,-0.04445515943292521,0.022494042988507507,4
amount_z_20d_low,150,-0.004452351359709055,-0.0400711622373815,-0.000405761033268762,-0.027377083976698482,0.010392485610130987,5
close_over_ma20_high,40,-0.00445617435232011,-0.04010556917088099,-0.007053867860174489,-0.058198458261992,0.04380240203429325,5
turnover_z_20d_low,150,-0.004456981432332436,-0.04011283289099192,-0.005569926034994621,-0.024830005426787746,0.011669186956874134,5
drawdown_20d_high,150,-0.004471947591193214,-0.040247528320738926,0.0011704711849278397,-0.05843238259674607,0.02568873311819099,4
amplitude_ma_20d_low,150,-0.0044886535531705974,-0.040397881978535374,-0.0023676791129124963,-0.048056167412168255,0.025731679442772225,5
