apply,power,max_weight,equal_mix,mean,min,max,neg,vals
tree_only,2.5,0.04,0.2,0.03100121251619841,0.020194893439725553,0.04612969630315775,0,"0.02831,0.02329,0.02552,0.04515,0.03142,0.02019,0.02086,0.03813,0.04613"
tree_only,1.2,0.04,0.3,0.031000876632471544,0.020223059096500573,0.04601596656988541,0,"0.02831,0.02329,0.02522,0.04515,0.03154,0.02022,0.02036,0.03890,0.04602"
tree_regularized,0.4,0.04,0.1,0.030999797689003763,0.019627634443075574,0.04515129530036888,0,"0.02629,0.02422,0.02569,0.04515,0.03191,0.02144,0.01963,0.03952,0.04515"
tree_regularized,0.6,0.045,0.3,0.030998495956722563,0.020138576125245652,0.04514788015494137,0,"0.02657,0.02423,0.02611,0.04515,0.03281,0.02014,0.02018,0.04033,0.04346"
tree_only,3.0,0.04,0.1,0.030997625894928413,0.019017542986978636,0.047218261831478966,0,"0.02831,0.02329,0.02635,0.04515,0.03089,0.01902,0.02155,0.03720,0.04722"
tree_only,2.0,0.04,0.3,0.030995096238522875,0.020335786746281025,0.0456514087055369,0,"0.02831,0.02329,0.02531,0.04515,0.03152,0.02061,0.02034,0.03878,0.04565"
tree_regularized,1.2,0.04,0.3,0.03099376446933317,0.020223059096500573,0.04601596656988541,0,"0.02699,0.02455,0.02522,0.04515,0.03154,0.02022,0.02036,0.03890,0.04602"
tree_regularized,0.6,0.04,0.0,0.030990547051616954,0.019583627689595845,0.0469126420817776,0,"0.02582,0.02467,0.02552,0.04515,0.03179,0.01958,0.02080,0.03868,0.04691"
tree_regularized,0.6,0.05,0.3,0.030988182326402484,0.019928936405607667,0.04514788015494137,0,"0.02657,0.02423,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
tree_regularized,0.6,0.06,0.3,0.030988182326402484,0.019928936405607667,0.04514788015494137,0,"0.02657,0.02423,0.02611,0.04515,0.03296,0.01993,0.02013,0.04042,0.04338"
