mode,top_k,alpha_xgb,rank_power,equal_mix,max_weight,score_rank_blend,portfolio_return,benchmark_return,excess_return,n,max_w,top10_sum
rank,30,0.05,1.6,0.1,0.04,0.2,0.07061101832759706,0.041279438261512036,0.029331580066085022,30,0.039999999999999994,0.3999999999999999
rank,30,0.05,1.0,0.1,0.04,0.2,0.07060876243488183,0.041279438261512036,0.029329324173369795,30,0.04000000000000001,0.40000000000000013
rank,30,0.0,2.4,0.1,0.04,0.2,0.07059625800342408,0.041279438261512036,0.02931681974191204,30,0.04,0.39999999999999997
rank,30,0.2,0.8,0.0,0.04,0.2,0.07059195648943456,0.041279438261512036,0.029312518227922524,30,0.04000000000000001,0.40000000000000013
rank,30,0.05,2.0,0.1,0.04,0.2,0.0705591845797219,0.041279438261512036,0.02927974631820987,30,0.04000000000000001,0.40000000000000013
rank,30,0.1,1.2,0.1,0.04,0.2,0.07055508951908325,0.041279438261512036,0.029275651257571214,30,0.039999999999999994,0.3999999999999999
rank,30,0.05,0.8,0.1,0.04,0.2,0.07054893820175015,0.041279438261512036,0.029269499940238114,30,0.04,0.39999999999999997
rank,30,0.2,1.2,0.05,0.04,0.2,0.07054470112514273,0.041279438261512036,0.029265262863630695,30,0.04000000000000001,0.40000000000000013
rank,30,0.1,1.0,0.1,0.04,0.2,0.07053484896355508,0.041279438261512036,0.029255410702043044,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,1.6,0.1,0.04,0.2,0.07052428598448124,0.041279438261512036,0.029244847722969203,30,0.039999999999999994,0.3999999999999999
rank,30,0.2,1.0,0.05,0.04,0.2,0.0705234859884945,0.041279438261512036,0.02924404772698247,30,0.04000000000000001,0.40000000000000013
rank,30,0.2,1.6,0.05,0.04,0.2,0.07051363580417615,0.041279438261512036,0.02923419754266411,30,0.040000000000000015,0.4000000000000002
rank,30,0.0,3.0,0.1,0.04,0.2,0.07049879320142516,0.041279438261512036,0.029219354939913122,30,0.039999999999999994,0.3999999999999999
rank,30,0.1,3.0,0.05,0.04,0.2,0.07049002221759804,0.041279438261512036,0.029210583956086,30,0.04,0.39999999999999997
rank,30,0.05,2.4,0.1,0.04,0.2,0.0704743413471641,0.041279438261512036,0.029194903085652063,30,0.04,0.39999999999999997
rank,30,0.2,3.0,0.0,0.04,0.2,0.07047407258324564,0.041279438261512036,0.02919463432173361,30,0.04,0.39999999999999997
rank,30,0.1,0.8,0.1,0.04,0.2,0.07047093621650563,0.041279438261512036,0.029191497954993595,30,0.039999999999999994,0.3999999999999999
rank,30,0.2,0.8,0.05,0.04,0.2,0.07046196364047738,0.041279438261512036,0.029182525378965346,30,0.04,0.39999999999999997
rank,30,0.1,2.0,0.1,0.04,0.2,0.07045380324767211,0.041279438261512036,0.02917436498616008,30,0.04,0.39999999999999997
