top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,median,min,max,sum,negative_windows,avg_n,utility
35,0.25,1.1,0.0,0.04,0.014339609456207695,0.009287163693739105,0.0037881521100692206,0.03822537855695013,0.12905648510586926,0,86.44444444444444,0.016233685511242303
30,0.1,1.4,0.1,0.04,0.015305833786111358,0.010080357445849161,0.0018485462637377048,0.043392640319363865,0.13775250407500222,0,82.0,0.01623010691798021
35,0.1,1.1,0.2,0.045,0.014231371680042994,0.009287163693739105,0.003980042853947333,0.033698876776513315,0.12808234512038694,0,86.44444444444444,0.01622139310701666
35,0.0,1.2,0.05,0.04,0.014315971191489788,0.009287163693739105,0.003808788078488015,0.037720613283080434,0.1288437407234081,0,86.44444444444444,0.016220365230733794
30,0.1,1.6,0.1,0.04,0.015304879504614085,0.010366062443595614,0.0018286717660607882,0.04327227535153205,0.13774391554152676,0,82.0,0.01621921538764448
35,0.1,0.9,0.2,0.045,0.014222775709567502,0.009287163693739105,0.003992554839043531,0.033295727629771205,0.12800498138610752,0,86.44444444444444,0.016219053129089268
35,0.0,1.4,0.2,0.04,0.014232429712427145,0.009287163693739105,0.003967575224415584,0.03808009063460936,0.1280918674118443,0,86.44444444444444,0.016216217324634935
35,0.25,0.9,0.05,0.04,0.014208105096144135,0.009287163693739105,0.004010510514888335,0.03697945440386624,0.1278729458652972,0,86.44444444444444,0.0162133603535883
35,0.25,0.9,0.0,0.04,0.014268998948698942,0.009287163693739105,0.0038879662395942677,0.03746445819107974,0.12842099053829048,0,86.44444444444444,0.016212982068496078
35,0.0,1.1,0.1,0.04,0.01427280428667932,0.009287163693739105,0.003870043702595999,0.03769424611347526,0.12845523858011387,0,86.44444444444444,0.01620782613797732
35,0.1,0.9,0.0,0.05,0.014360543444759712,0.009287163693739105,0.0036924567836247313,0.03291995953560378,0.1292448910028374,0,86.44444444444444,0.016206771836572077
35,0.25,1.1,0.05,0.04,0.014248052488035987,0.009287163693739105,0.0038867980374926586,0.03765994175028489,0.12823247239232388,0,86.44444444444444,0.016191451506782317
35,0.0,1.6,0.2,0.04,0.014236018839099938,0.009287163693739105,0.00390990724224799,0.03817812599942394,0.12812416955189945,0,86.44444444444444,0.016190972460223933
30,0.1,1.4,0.2,0.04,0.01522132455370708,0.01009678457856672,0.0019347606730333589,0.042802744292248826,0.1369919209833637,0,82.0,0.01618870489022376
35,0.0,1.2,0.2,0.04,0.014205630053790682,0.009287163693739105,0.0039661425227586755,0.037938104050440014,0.12785067048411614,0,86.44444444444444,0.016188701315170022
35,0.25,1.2,0.0,0.04,0.014352107573205578,0.009287163693739105,0.0036444079862273243,0.03851731385774598,0.1291689681588502,0,86.44444444444444,0.01617431156631924
35,0.0,1.2,0.0,0.04,0.014341338403713214,0.009287163693739105,0.003658337254017305,0.03764090416821671,0.12907204563341892,0,86.44444444444444,0.016170507030721867
35,0.25,1.2,0.05,0.04,0.014265266697187109,0.009287163693739105,0.003797493421141593,0.03793597542332357,0.12838740027468398,0,86.44444444444444,0.016164013407757905
30,0.1,1.6,0.2,0.04,0.015206628058245603,0.010234977010564264,0.0019115046132388985,0.0428092545204157,0.13685965252421042,0,82.0,0.016162380364865052
35,0.0,1.4,0.1,0.04,0.014291596963278511,0.009287163693739105,0.0037411080844132055,0.037960592790345776,0.1286243726695066,0,86.44444444444444,0.016162151005485112
35,0.1,1.1,0.1,0.045,0.014371177587424807,0.009287163693739105,0.0035560205242591014,0.034630005930924995,0.12934059828682326,0,86.44444444444444,0.01614918784955436
35,0.25,1.2,0.1,0.04,0.014189722175654998,0.009287163693739105,0.0039176882641389355,0.0373674948293113,0.12770749958089497,0,86.44444444444444,0.016148566307724467
40,0.1,1.6,0.0,0.04,0.014098797223515746,0.009287163693739105,0.004075415826163151,0.03742431614947278,0.1268891750116417,0,90.88888888888889,0.01613650513659732
40,0.0,1.6,0.0,0.04,0.014087041677691524,0.009287163693739105,0.004094282411084518,0.036963502145051175,0.12678337509922372,0,90.88888888888889,0.01613418288323378
35,0.25,1.1,0.2,0.04,0.014070421837503368,0.009287163693739105,0.004111912743016699,0.03609974382450955,0.12663379653753032,0,86.44444444444444,0.016126378209011718
30,0.25,0.9,0.1,0.04,0.015073631762848384,0.009287163693739105,0.002100348260256235,0.043397028423706616,0.13566268586563546,0,82.0,0.016123805892976503
35,0.1,1.1,0.0,0.045,0.014506358426091357,0.009287163693739105,0.003224677454541844,0.035615815293934,0.1305572258348222,0,86.44444444444444,0.01611869715336228
35,0.0,0.9,0.2,0.04,0.014103725223203686,0.009287163693739105,0.004029422648293011,0.03763409255346652,0.12693352700883317,0,86.44444444444444,0.016118436547350193
35,0.25,1.1,0.1,0.04,0.014172259931646938,0.009287163693739105,0.003881991079099173,0.03712797675319113,0.12755033938482244,0,86.44444444444444,0.016113255471196526
35,0.1,1.2,0.2,0.045,0.014225506462660024,0.009287163693739105,0.0037722673292228115,0.03382104706917971,0.1280295581639402,0,86.44444444444444,0.01611164012727143
35,0.1,1.1,0.05,0.045,0.0144352721616215,0.009287163693739105,0.003344009359414979,0.03513634342925438,0.1299174494545935,0,86.44444444444444,0.01610727684132899
40,0.0,1.4,0.0,0.04,0.014044906879674659,0.009287163693739105,0.004120784258051985,0.036693675272403595,0.12640416191707193,0,90.88888888888889,0.01610529900870065
30,0.25,0.9,0.05,0.04,0.01508812739297981,0.009287163693739105,0.0020233350465341665,0.04365208545141383,0.1357931465368183,0,82.0,0.01609979491624689
30,0.25,0.9,0.0,0.04,0.015090499184227588,0.009287163693739105,0.0020100135301459043,0.04388147871835661,0.1358144926580483,0,82.0,0.01609550594930054
30,0.25,1.1,0.2,0.04,0.015049762671436632,0.009287163693739105,0.0020903815406554255,0.043204919561924016,0.1354478640429297,0,82.0,0.016094953441764343
35,0.1,1.2,0.2,0.05,0.014208797507762876,0.009287163693739105,0.0037722673292228115,0.03232048475203096,0.1278791775698659,0,86.44444444444444,0.01609493117237428
35,0.0,1.4,0.05,0.04,0.014310037677392494,0.009287163693739105,0.0035640100794319396,0.03789717628466083,0.12879033909653245,0,86.44444444444444,0.016092042717108464
40,0.0,1.4,0.05,0.04,0.013934645200383924,0.009287163693739105,0.004301871516494665,0.03641849046290678,0.12541180680345532,0,90.88888888888889,0.016085580958631256
30,0.25,1.1,0.1,0.04,0.015069239959906968,0.009287163693739105,0.001998300009252718,0.04367605339075721,0.13562315963916272,0,82.0,0.016068389964533327
35,0.25,1.4,0.0,0.04,0.014372899803031434,0.009287163693739105,0.0033875743515501128,0.03897747760459344,0.12935609822728292,0,86.44444444444444,0.01606668697880649
35,0.1,1.2,0.05,0.045,0.014444942004012053,0.009287163693739105,0.0032415173503925337,0.03538178954420669,0.13000447803610848,0,86.44444444444444,0.01606570067920832
30,0.25,1.2,0.2,0.04,0.01505122650289361,0.009287163693739105,0.0020177451156229292,0.043265254283826715,0.1354610385260425,0,82.0,0.016060099060705074
30,0.25,1.1,0.0,0.04,0.015091275906847383,0.009287163693739105,0.0019325384887453612,0.04404472386997893,0.13582148316162646,0,82.0,0.016057545151220064
35,0.25,1.4,0.1,0.04,0.014189642756966152,0.009287163693739105,0.003728629708203396,0.03774087225068054,0.12770678481269537,0,86.44444444444444,0.01605395761106785
30,0.25,1.4,0.2,0.04,0.015051539800952415,0.009287163693739105,0.002004100102263484,0.043330228271723406,0.13546385820857174,0,82.0,0.016053589852084157
35,0.0,1.6,0.1,0.04,0.014277202918344951,0.009287163693739105,0.0035523002485506328,0.03807387345405305,0.12849482626510456,0,86.44444444444444,0.016053353042620268
35,0.25,1.4,0.2,0.04,0.01405970660677935,0.009287163693739105,0.003979331697774702,0.03657981187741638,0.12653735946101416,0,86.44444444444444,0.0160493724556667
35,0.25,1.2,0.2,0.04,0.014057503164649342,0.009287163693739105,0.0039767759528400864,0.03629305711257158,0.12651752848184408,0,86.44444444444444,0.016045891141069385
40,0.1,1.4,0.0,0.04,0.014001280501275063,0.009287163693739105,0.004089160070563397,0.03695132707467619,0.12601152451147557,0,90.88888888888889,0.01604586053655676
35,0.25,0.9,0.1,0.05,0.014012055945046668,0.009287163693739105,0.004065873591823685,0.03297562029573774,0.12610850350542002,0,86.44444444444444,0.01604499274095851
30,0.25,1.2,0.0,0.04,0.015089611704589155,0.009287163693739105,0.0019100183972320522,0.04402914831026994,0.1358065053413024,0,82.0,0.01604462090320518
35,0.25,1.4,0.05,0.04,0.014267377612135625,0.009287163693739105,0.003547691578485973,0.03833713017831673,0.12840639850922062,0,86.44444444444444,0.01604122340137861
35,0.1,1.2,0.0,0.045,0.014517428124617248,0.009287163693739105,0.00304723616494762,0.035880484543648075,0.13065685312155523,0,86.44444444444444,0.016041046207091056
30,0.25,1.1,0.05,0.04,0.01506044663804789,0.009287163693739105,0.001959285988161627,0.04385011282142967,0.13554401974243102,0,82.0,0.016040089632128704
35,0.25,0.9,0.2,0.04,0.014050335370100135,0.009287163693739105,0.003971640704648598,0.0355946503149724,0.12645301833090122,0,86.44444444444444,0.016036155722424436
