set,mode,top_k,power,max_weight,equal_mix,mean,min,max,neg,vals
core_diverse,presence,30,0.5,0.06,0.0,0.024178042481345554,0.003569550948853799,0.05200239349263658,0,"0.02058,0.02012,0.02012,0.00357,0.02617,0.02294,0.01446,0.03764,0.05200"
core_diverse,presence,30,0.5,0.08,0.0,0.024178042481345554,0.003569550948853799,0.05200239349263658,0,"0.02058,0.02012,0.02012,0.00357,0.02617,0.02294,0.01446,0.03764,0.05200"
core_diverse,presence,30,0.5,0.1,0.0,0.024178042481345554,0.003569550948853799,0.05200239349263658,0,"0.02058,0.02012,0.02012,0.00357,0.02617,0.02294,0.01446,0.03764,0.05200"
core_diverse,weight,30,2.0,0.05,0.0,0.024173107319870598,0.00794254899851185,0.03556378736468774,0,"0.02097,0.02014,0.02868,0.01992,0.02660,0.00794,0.02256,0.03519,0.03556"
core_diverse,presence,30,2.0,0.1,0.0,0.024171642797924234,0.0025417487725047858,0.04463562122314613,0,"0.02386,0.01930,0.02217,0.00254,0.03421,0.01916,0.01372,0.03795,0.04464"
core_diverse,presence,30,0.5,0.05,0.1,0.024166832411638393,0.003592454318025594,0.05228992065831943,0,"0.02047,0.02015,0.02003,0.00359,0.02587,0.02303,0.01443,0.03765,0.05229"
core_diverse,presence,30,0.5,0.06,0.1,0.024166832411638393,0.003592454318025594,0.05228992065831943,0,"0.02047,0.02015,0.02003,0.00359,0.02587,0.02303,0.01443,0.03765,0.05229"
core_diverse,presence,30,0.5,0.08,0.1,0.024166832411638393,0.003592454318025594,0.05228992065831943,0,"0.02047,0.02015,0.02003,0.00359,0.02587,0.02303,0.01443,0.03765,0.05229"
core_diverse,presence,30,0.5,0.1,0.1,0.024166832411638393,0.003592454318025594,0.05228992065831943,0,"0.02047,0.02015,0.02003,0.00359,0.02587,0.02303,0.01443,0.03765,0.05229"
core_diverse,rank,30,2.0,0.08,0.1,0.02416662325520995,0.0009776465327832606,0.0388767567988176,0,"0.02255,0.02660,0.03357,0.00098,0.03365,0.00368,0.02270,0.03888,0.03491"
