ogamma,opower,omax,rgamma,rpower,rmax,mean,min,max,neg,vals,reasons
3.0,2.0,0.1,2.0,3.0,0.1,0.039390298720762086,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03417,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,3.0,0.05,0.03937430304187665,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02591,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,2.0,0.05,0.039360181551359036,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02579,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
2.0,3.0,0.08,3.0,3.0,0.1,0.03935598384924488,0.02519179761525367,0.05508587650188351,0,"0.02519,0.02528,0.05509,0.04515,0.03148,0.04513,0.03827,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
2.0,3.0,0.1,3.0,3.0,0.1,0.03935598384924488,0.02519179761525367,0.05508587650188351,0,"0.02519,0.02528,0.05509,0.04515,0.03148,0.04513,0.03827,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,1.5,0.05,0.039335406109029476,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02556,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,2.0,2.0,0.08,0.0393307572875108,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03363,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,2.0,2.0,0.1,0.0393307572875108,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03363,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,2.0,2.0,0.08,0.0393307572875108,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03363,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,2.0,2.0,0.1,0.0393307572875108,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03363,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,3.0,0.05,0.03932359994662869,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02546,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,2.0,0.05,0.039307159267359,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02531,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,3.0,0.05,0.03929587040051011,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02521,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,1.5,0.05,0.03925922295911455,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02676,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,3.0,0.05,0.03925480221543434,0.024838388578261976,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02484,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,2.0,1.5,0.08,0.03924991111832093,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03290,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,2.0,1.5,0.1,0.03924991111832093,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03290,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,2.0,1.5,0.08,0.03924991111832093,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03290,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
