top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,min,max,std,neg,utility,avg_max_weight,avg_n
40,0.0,1.6,0.1,0.04,0.018387428996939223,0.00422109704233653,0.03637358102386974,0.012377481276370087,0,0.01824782660748227,0.04,40.0
30,0.0,0.0,0.0,0.04,0.018470074309221374,0.004096888898314461,0.0355582382000663,0.012423257395823048,0,0.018232082189085733,0.03701301689262487,30.0
35,0.0,0.8,0.15,0.04,0.018642822563923914,0.003981837301077075,0.037405429759789555,0.012801371284414442,0,0.018229765853574255,0.039873748940556335,35.0
30,0.35,0.0,0.15,0.04,0.018983222193599374,0.0038064333532177273,0.040096269859027145,0.013727969208325695,0,0.01821573323877036,0.03740054452167561,30.0
30,0.25,0.0,0.25,0.04,0.018949786598451847,0.0037830038481132533,0.03984087660072633,0.013632906567072344,0,0.018189662650363037,0.037187834339673695,30.0
40,0.0,1.6,0.15,0.04,0.018260367522553462,0.004268834885711795,0.03610231830499887,0.012295289183147025,0,0.01817472964676496,0.04,40.0
30,0.5,0.0,0.0,0.04,0.01897949134603848,0.003816360611140164,0.04070935636750411,0.013914841470836825,0,0.018172233406127388,0.03772836962397094,30.0
40,0.0,1.2,0.0,0.04,0.018393956677277994,0.004114027356928226,0.03634626189402912,0.012423591024046844,0,0.01816787807111604,0.04,40.0
30,0.0,0.0,0.1,0.04,0.018497193616028685,0.004011601284270642,0.036088608155847995,0.012552021468099282,0,0.018167309147993315,0.036778381870029055,30.0
30,0.25,0.5,0.4,0.04,0.0194845450114407,0.0031695991226907833,0.04183176818539054,0.014263075295681833,0,0.018137495573403793,0.03973442239195024,30.0
30,0.35,0.0,0.25,0.04,0.018952294350850885,0.003740266224354024,0.04016113356418201,0.013735792925621779,0,0.018136532476493255,0.03723577457794907,30.0
30,0.0,0.0,0.15,0.04,0.01850236004944667,0.003968957477248739,0.03631182703381046,0.012606287860449018,0,0.018129058318408532,0.03666106435873114,30.0
30,0.25,0.5,0.0,0.04,0.01981048325407688,0.0027290406058828737,0.04253349263186025,0.014380802791686714,0,0.018125610980273214,0.039999999999999994,30.0
30,0.5,0.0,0.1,0.04,0.018953797368654594,0.0037591258258137736,0.04058257143957028,0.013875050172865257,0,0.01811642290350792,0.03755553266157385,30.0
35,0.0,1.6,0.0,0.04,0.019076567601416294,0.0031902023098208665,0.03798891476774398,0.01284904360996947,0,0.018097448315798535,0.04,35.0
30,0.5,0.0,0.15,0.04,0.01894056584442381,0.0037305084331505853,0.04052086023482113,0.013855617845686735,0,0.018088017286207538,0.0374691141803753,30.0
30,0.35,0.5,0.4,0.04,0.019467504759431268,0.0031503079281371416,0.04213579935404935,0.014352613484104305,0,0.01808456693810119,0.0397392023333397,30.0
30,0.65,0.0,0.0,0.04,0.019013925787875315,0.003722077476245249,0.04144207197239194,0.014157646738076094,0,0.018079968336727963,0.037794035627837515,30.0
30,0.25,0.5,0.1,0.04,0.01972284155098997,0.002767684462503972,0.04232838074023214,0.014345253342438044,0,0.018073907339133242,0.04000000000000001,30.0
30,0.25,0.5,0.25,0.04,0.019591585808520228,0.0029324094982121907,0.0420543071458377,0.014298855839358483,0,0.01806955849742914,0.04,30.0
30,0.25,0.0,0.4,0.04,0.018928637294553234,0.003675205630065865,0.04021776590509382,0.01372714063056374,0,0.018069496077958404,0.036876401478533334,30.0
30,0.5,0.0,0.25,0.04,0.018957952886081986,0.003673273647824188,0.0406343974773838,0.013889572211466902,0,0.01805685138669219,0.0372962772179782,30.0
30,0.35,0.5,0.0,0.04,0.019820631705077404,0.0026887078010580656,0.043208543286949674,0.014587919495100387,0,0.018055747292042956,0.039999999999999994,30.0
30,0.0,0.0,0.25,0.04,0.018515039300647476,0.0038836698632049096,0.03676999671155956,0.012721008137388516,0,0.01805335617054378,0.03642642933613533,30.0
35,0.0,0.8,0.1,0.06,0.018115195201206663,0.00418797028957393,0.03453093831243978,0.011997563506087567,0,0.018047383527386524,0.04319278075622197,35.0
35,0.0,0.8,0.1,0.08,0.018115195201206663,0.00418797028957393,0.03453093831243978,0.011997563506087567,0,0.018047383527386524,0.04319278075622197,35.0
35,0.0,0.8,0.1,0.1,0.018115195201206663,0.00418797028957393,0.03453093831243978,0.011997563506087567,0,0.018047383527386524,0.04319278075622197,35.0
35,0.25,1.2,0.0,0.04,0.018719014517923946,0.0036444079862273243,0.03851731385774598,0.012898493983284822,0,0.018045476612461867,0.04,35.0
30,0.75,0.0,0.0,0.04,0.019076600371207387,0.0036562588263583905,0.042086005780998206,0.01437420617473429,0,0.01804243000597469,0.03783084927787668,30.0
30,0.25,0.8,0.25,0.04,0.019809468275877443,0.0026362732910530234,0.04269455067988891,0.014450571794196726,0,0.018042216631065377,0.04,30.0
30,0.35,0.0,0.4,0.04,0.01894469632367198,0.003641015531058469,0.04047352728795127,0.013815468768294864,0,0.01803954000333919,0.03698861966235926,30.0
30,0.35,0.5,0.1,0.04,0.019742318995215818,0.0027451256052797995,0.042914874453184065,0.014523702962358562,0,0.018032981178322034,0.04,30.0
30,0.65,0.0,0.1,0.04,0.01898966743274815,0.0036742710044083485,0.04135414073500869,0.014120278660127892,0,0.01803158747080202,0.03761463206505376,30.0
35,0.25,0.8,0.0,0.04,0.018281893982382547,0.00410525058922688,0.037005504835659855,0.012498455591603798,0,0.018030955496940414,0.04,35.0
30,0.25,0.5,0.15,0.04,0.019667591939895417,0.002776436647826744,0.04222640468405636,0.014331335938889266,0,0.01802826360865182,0.04,30.0
30,0.75,0.0,0.1,0.04,0.019087839394032878,0.00361503421951017,0.04210785443359201,0.014373206039913619,0,0.018025061837711593,0.03764776435008901,30.0
30,0.0,0.0,0.0,0.06,0.018156791951090764,0.004096888898314461,0.033991826409413256,0.01200096109096447,0,0.018024373907169766,0.03870435655542286,30.0
30,0.0,0.0,0.0,0.08,0.018156791951090764,0.004096888898314461,0.033991826409413256,0.01200096109096447,0,0.018024373907169766,0.03870435655542286,30.0
30,0.0,0.0,0.0,0.1,0.018156791951090764,0.004096888898314461,0.033991826409413256,0.01200096109096447,0,0.018024373907169766,0.03870435655542286,30.0
30,0.35,0.5,0.25,0.04,0.01959677472879079,0.002908300897576113,0.04253454536078172,0.01444851286003498,0,0.018020457142085323,0.040000000000000015,30.0
30,0.75,0.0,0.15,0.04,0.01909084347321843,0.0035944219160860616,0.04211042878879902,0.014370030196784195,0,0.018014431265282623,0.037556221886195174,30.0
30,0.5,0.5,0.4,0.04,0.019440827917941727,0.0031240927726049472,0.04247818821817931,0.014459832314585617,0,0.018012734780118785,0.03974420237612346,30.0
30,0.65,0.0,0.15,0.04,0.018981562341914632,0.0036503677684899052,0.04134344009151478,0.014111447638967706,0,0.01800895787011564,0.03752493028366189,30.0
30,0.5,0.0,0.4,0.04,0.019001154841701045,0.003587421469834602,0.04108930823521184,0.014015371730043124,0,0.018008506938074487,0.03703702177438256,30.0
30,0.25,0.0,0.0,0.06,0.01839890525855444,0.003962667544858928,0.036515091432377994,0.012673151171989928,0,0.018004484746958205,0.040976839464539686,30.0
30,0.25,0.0,0.0,0.08,0.01839890525855444,0.003962667544858928,0.036515091432377994,0.012673151171989928,0,0.018004484746958205,0.040976839464539686,30.0
30,0.25,0.0,0.0,0.1,0.01839890525855444,0.003962667544858928,0.036515091432377994,0.012673151171989928,0,0.018004484746958205,0.040976839464539686,30.0
