strategy,mean,median,min,max,neg
reweight_vol_20d_low_g1.5_p0.8,0.023301937082702475,0.019843023607826527,0.004229949343955,0.04486381969220499,0
reweight_close_over_ma20_low_g0.5_p2.0,0.023301092192393277,0.020350773801990386,0.004639660541285812,0.04443468333492252,0
reweight_drawdown_20d_low_g0.3_p1.5,0.023297847363245333,0.019948351623448213,0.0044458076042283926,0.04458701156671835,0
reweight_ret_60d_low_g0.8_p1.0,0.023295941058739913,0.019993488224513245,0.003275164703300512,0.04474348825127142,0
reweight_close_over_ma20_low_g0.5_p1.0,0.023294436172083235,0.020137794237018697,0.004374632734068171,0.04448501257464972,0
reweight_ret_60d_low_g0.8_p2.0,0.023291760917991348,0.019774022254668185,0.003308008367827714,0.04465529599600862,0
reweight_amplitude_ma_20d_low_g1.0_p0.8,0.023283845574450117,0.019445731253086032,0.003307024669941941,0.04400821696676989,0
reweight_ret_60d_low_g0.8_p0.8,0.023279582076576724,0.020426415468368042,0.0033311151261175287,0.04469637772980742,0
reweight_amplitude_ma_20d_low_g1.0_p2.0,0.023277796134096276,0.01956836404027435,0.0032328560934602735,0.044393291458834735,0
reweight_vol_20d_low_g0.8_p1.0,0.023271007399686443,0.019580925465721308,0.004059681622726033,0.04461952273286057,0
reweight_close_over_ma20_low_g0.5_p0.8,0.023270013124503837,0.020265339744270902,0.0043061360082178035,0.04451162484104049,0
reweight_amplitude_ma_20d_low_g1.0_p1.0,0.023269224740586673,0.01941422553151572,0.003241435617882038,0.04406804159150626,0
reweight_amplitude_ma_20d_low_g1.0_p1.5,0.02326545816797396,0.0194906616656724,0.0031890447950349843,0.044283326407129675,0
reweight_vol_20d_low_g1.0_p0.8,0.02326312743588727,0.01951144351388128,0.00414234239153323,0.04472268868422183,0
reweight_drawdown_20d_low_g0.3_p2.0,0.02325406732048726,0.019930166829071,0.004552567353817212,0.044506123774042394,0
reweight_amplitude_ma_20d_low_g0.8_p0.8,0.02325053825823108,0.01946138266043529,0.0034038643449630923,0.044068279704300606,0
reweight_drawdown_20d_low_g0.2_p0.8,0.023246513768589126,0.019806456663464145,0.004145953858890591,0.04461732469499338,0
reweight_amplitude_ma_20d_low_g0.8_p2.0,0.023243364401776146,0.019589581658725368,0.00335857142330076,0.04440744622261564,0
reweight_close_over_ma60_low_g0.3_p1.0,0.023241610843831993,0.01958263447966263,0.004485042990540311,0.04445677220731434,0
reweight_vol_20d_low_g0.8_p0.8,0.02324056771940436,0.019541831181571073,0.004104414922645988,0.0446640209344087,0
reweight_close_over_ma60_low_g0.3_p1.5,0.0232402582212557,0.01947826937171393,0.004505166382979903,0.04446720374088116,0
reweight_ret_5d_low_g0.3_p0.8,0.023239918916566033,0.02112532932858288,0.003923848001956429,0.04495846017377221,0
reweight_amplitude_ma_20d_low_g0.8_p1.0,0.023239775503495753,0.01946258669760083,0.003353516630387271,0.04412695269521219,0
reweight_drawdown_20d_low_g0.2_p1.0,0.02323949074915592,0.019820728653264293,0.0041951735446735805,0.04459235427703703,0
reweight_amplitude_ma_20d_low_g0.8_p1.5,0.023237578287908563,0.01952677014352161,0.0033182887478400286,0.044319128479364006,0
reweight_ret_5d_low_g0.3_p1.0,0.023230692131146417,0.02128368856641441,0.003931299990580006,0.04482425072269727,0
reweight_vol_20d_low_g0.5_p1.5,0.02322715496617652,0.019652564801537056,0.003925880229242437,0.044494773072999705,0
reweight_ret_60d_low_g0.5_p1.5,0.02322610880126107,0.01976384367640102,0.0034781274366625092,0.04465281941757651,0
reweight_ret_60d_low_g0.5_p1.0,0.023222958021737787,0.019700169266641636,0.0034756853846266006,0.04464283310558377,0
reweight_vol_20d_low_g0.5_p2.0,0.023222677788727348,0.019665806230651867,0.0038559484141158923,0.044470552321949894,0
reweight_close_over_ma60_low_g0.3_p0.8,0.0232218105842493,0.01963761518635393,0.004450214753977187,0.0444353155654328,0
reweight_ret_60d_low_g0.5_p2.0,0.023214528385489566,0.019738402338512727,0.003508850657893414,0.04458418430444744,0
reweight_close_over_ma60_low_g0.3_p2.0,0.023214265532100826,0.019440051148005018,0.004481948707114394,0.044464732107812,0
reweight_drawdown_20d_low_g0.2_p1.5,0.023211463709031908,0.01983481599978483,0.004303649486179388,0.044524053161278845,0
reweight_ret_5d_low_g0.3_p1.5,0.023208782878999794,0.021426004888204356,0.003927170220934625,0.04464252228877311,0
reweight_vol_20d_low_g0.5_p1.0,0.023208301757424,0.019615370985891216,0.004008692166213523,0.04454381746347559,0
reweight_ret_60d_low_g0.5_p0.8,0.023204391362710113,0.01974869103018123,0.0035100607879340676,0.044614207042173726,0
reweight_close_over_ma20_low_g0.3_p1.5,0.023201322355405996,0.01997115680775903,0.00434784412836222,0.04443208051688641,0
reweight_ret_5d_low_g0.3_p2.0,0.023199604846029856,0.021423209903769766,0.003928313906042258,0.04456016087618045,0
reweight_close_over_ma20_low_g0.3_p2.0,0.02319947605925007,0.02005827575113199,0.004430832924378771,0.04444651403907118,0
reweight_drawdown_20d_low_g0.15_p0.8,0.0231948707770714,0.019760044615674113,0.004093316566125986,0.04456337660959392,0
reweight_close_over_ma20_low_g0.3_p1.0,0.023191973506974477,0.019749870214465587,0.004245731626907806,0.04445148500730327,0
reweight_vol_20d_low_g0.5_p0.8,0.023191106130277087,0.019589571513071377,0.004040082217988211,0.044573510382101916,0
reweight_amplitude_ma_20d_low_g0.5_p0.8,0.02319045958420342,0.019536898910582315,0.003568135781270368,0.04416636533966138,0
reweight_drawdown_20d_low_g0.15_p1.0,0.023189974728287183,0.019770478961629583,0.0041314156990253925,0.04454414930127751,0
reweight_amplitude_ma_20d_low_g0.5_p1.5,0.02318559307724397,0.01958172072736042,0.0035248781665947818,0.04437319831410419,0
reweight_amplitude_ma_20d_low_g0.5_p1.0,0.023185266230114347,0.019539295915690466,0.0035394192947890285,0.04422804010487305,0
reweight_close_over_ma60_low_g0.2_p1.0,0.023184309476491253,0.019562573206262972,0.004333369424192865,0.04445926569032291,0
reweight_close_over_ma60_low_g0.2_p1.5,0.02318327195584483,0.01954236101216788,0.004345066760073096,0.04446623975561413,0
reweight_drawdown_20d_low_g0.2_p2.0,0.023181505923111398,0.019824367266421505,0.004386766052900629,0.04446645258523366,0
reweight_amplitude_ma_20d_low_g0.5_p2.0,0.023178165570839477,0.019621597435374068,0.003555470473011371,0.0444287234248968,0
reweight_close_over_ma20_low_g0.3_p0.8,0.023176024107165242,0.019641429285629425,0.004187839543603369,0.04446866393714635,0
reweight_close_over_ma60_low_g0.2_p0.8,0.02317160866087362,0.019569205502428508,0.004310795240354083,0.044444859351317534,0
reweight_drawdown_20d_low_g0.15_p1.5,0.023168809868360243,0.019780570208756343,0.004215058067956759,0.04448985135355585,0
reweight_close_over_ma60_low_g0.2_p2.0,0.023167086683451785,0.019517529424643833,0.0043273641216954525,0.04446459018396101,0
reweight_ret_5d_low_g0.2_p0.8,0.02316683944539467,0.02040187702056384,0.003919293739398491,0.04477904311992631,0
reweight_vol_20d_low_g0.3_p1.5,0.023162246885555342,0.01966168059257308,0.0039189868920133444,0.044482622982297784,0
reweight_ret_5d_low_g0.2_p1.0,0.023161007110370647,0.020504825108137725,0.003924578693832344,0.04469635535245914,0
reweight_vol_20d_low_g0.3_p2.0,0.023160160139595,0.019669665077966955,0.0038761258169929674,0.04446805597966183,0
reweight_ret_60d_low_g0.3_p1.5,0.023159755890969316,0.019729606118235044,0.0036364479405440048,0.04457814463324655,0
reweight_close_over_ma60_low_g0.15_p1.0,0.023158905308992284,0.019590222894191378,0.004251364313714055,0.044460519074469906,0
reweight_close_over_ma60_low_g0.15_p1.5,0.023157494934827397,0.01957521834082889,0.004259374683654435,0.04446575705078784,0
reweight_vol_20d_low_g0.3_p1.0,0.023155702421103392,0.01963899503468306,0.0039710022364035855,0.04451237840582932,0
reweight_ret_60d_low_g0.3_p1.0,0.023153620469241035,0.0196908047551897,0.00363143925234842,0.04457310084306418,0
reweight_ret_60d_low_g0.3_p2.0,0.023151986744234916,0.01971378344256368,0.0036577407608195667,0.04453643827952998,0
reweight_ret_5d_low_g0.2_p1.5,0.023151014548988737,0.020593867572654287,0.003940349992519326,0.044583461949343026,0
reweight_close_over_ma60_low_g0.15_p0.8,0.023149166486487252,0.019595063410174918,0.004235007173061203,0.044449675720698065,0
reweight_drawdown_20d_low_g0.15_p2.0,0.023147712725490703,0.01977072004594215,0.0042850336551910825,0.04445664290075896,0
reweight_ret_5d_low_g0.2_p2.0,0.023146592044888486,0.020587864767567632,0.003944017009418675,0.04452829168780714,0
reweight_close_over_ma20_low_g0.2_p1.5,0.023146230793074356,0.01985172349005738,0.004238727387234832,0.04444279245541731,0
reweight_vol_20d_low_g0.3_p0.8,0.02314622727358833,0.0196229348935509,0.003991452316591995,0.04451743135129088,0
reweight_close_over_ma20_low_g0.2_p2.0,0.023143799689602885,0.019909723949616133,0.004298462048065194,0.04445243858055703,0
reweight_ret_60d_low_g0.3_p0.8,0.0231435558985928,0.019631029006554716,0.0036514838744758915,0.04455629999826019,0
reweight_close_over_ma60_low_g0.15_p2.0,0.023142703938457007,0.019556637767863955,0.0042451679888141775,0.04446451919021213,0
reweight_amplitude_ma_20d_low_g0.3_p0.8,0.023141708827524532,0.0195903043387523,0.0036927754307360533,0.04426548901760875,0
reweight_drawdown_20d_low_g0.1_p0.8,0.02314126533044806,0.01972253235398065,0.00403646093062824,0.04450861008329374,0
reweight_ret_5d_low_g0.15_p0.8,0.023138871623629195,0.020023382717844693,0.003916761767281757,0.04469633897757114,0
reweight_amplitude_ma_20d_low_g0.3_p1.0,0.023138665385847437,0.019592466659639166,0.0036770412629270333,0.04432117408023595,0
reweight_drawdown_20d_low_g0.1_p1.0,0.023136515078099173,0.019725215083390556,0.004062700386840312,0.0444954513666623,0
reweight_close_over_ma20_low_g0.2_p1.0,0.023136058584633697,0.019703581640914847,0.00414920277456092,0.04443157678831916,0
