strategy,mean,min,median,max,neg
overlay0.80+adaptive0.10+aggressive0.10,0.023062272096247626,0.0048155285289097766,0.021188549388180405,0.04540480533315275,0
adaptive,0.023033727874567804,0.003907889575511657,0.019675468037767166,0.04446430609009536,0
overlay0.80+adaptive0.10+target30.10,0.02301767833973116,0.005927251438198361,0.02001788033969734,0.04391528574289014,0
overlay0.80+adaptive0.05+scoreprop400.15,0.023006100171701214,0.004351175315256306,0.021896608447045857,0.044039883421423384,0
overlay0.80+adaptive0.10+balanced0.10,0.023002773821974257,0.0051275083481742145,0.02140217061336129,0.04482451048480399,0
overlay_0.85+guarded_v2_0.15,0.022997197436352167,0.004971968152938433,0.02058533202187822,0.045460589788890476,0
overlay_0.80+scoreprop30_0.20,0.022969503802994912,0.003976104778910083,0.020726685705601502,0.04351479450608571,0
overlay0.70+adaptive0.20+aggressive0.10,0.022937324695587246,0.004716660830878516,0.020668583134627994,0.0452818034555961,0
overlay0.80+adaptive0.05+guarded_v20.15,0.02293472373603187,0.00492253430392281,0.020325348895101986,0.04539908885020119,0
overlay0.80+guarded_v20.05+scoreprop300.15,0.0229215885129735,0.004223005945138095,0.020352898492862773,0.0438655010692425,0
overlay_0.85+guarded_0.15,0.022904163354744725,0.004923311062499408,0.02060859912814947,0.045444548382896854,0
overlay0.70+adaptive0.20+target30.10,0.022892730939060368,0.005828383740167101,0.019917878077235898,0.043792283865239784,0
overlay0.80+guarded0.05+scoreprop300.15,0.02289192427738738,0.004206945603973319,0.020360737266175266,0.043814308012203776,0
overlay0.70+adaptive0.15+scoreprop400.15,0.022880358507960923,0.004251194071125161,0.021374166357504457,0.04391618180757374,0
overlay0.70+adaptive0.20+balanced0.10,0.022877826421360242,0.005028640650142961,0.02088220435980888,0.044701508607664586,0
overlay0.80+scoreprop300.15+scoreprop400.05,0.022863354298613206,0.004022056356204062,0.020970452803081255,0.04337321297021071,0
overlay0.70+adaptive0.10+scoreprop300.20,0.022846268050026954,0.003889378352815241,0.020196251387163272,0.04345373666382675,0
overlay0.80+adaptive0.05+guarded0.15,0.02284168965441509,0.004873877213483799,0.02034861600137325,0.0453830474441235,0
overlay_0.85+scoreprop50_0.15,0.0228291562806494,0.004614809390080084,0.02275002442648974,0.04400541849544859,0
overlay0.80+guarded_v20.10+scoreprop300.10,0.02282816519670169,0.00447429905166849,0.020056163527112064,0.04421104205227905,0
overlay0.70+adaptive0.15+guarded_v20.15,0.02280977633539011,0.004823666605891563,0.019805382641549574,0.0452760869728121,0
overlay0.80+aggressive0.05+scoreprop300.15,0.022803612594052072,0.004206945603973319,0.020360737266175266,0.043814308012203776,0
overlay0.80+scoreprop300.10+scoreprop400.10,0.022785515730651663,0.004063212970387295,0.021174829302554724,0.04335089612048024,0
overlay0.80+scoreprop300.15+scoreprop500.05,0.022781595410925427,0.0040928300666179945,0.021122755837617052,0.043200754814026326,0
overlay0.80+adaptive0.05+scoreprop500.15,0.0227666820735454,0.0045653755410644675,0.02249004129971352,0.04394391299548149,0
overlay0.80+guarded0.10+scoreprop300.10,0.022765521471502695,0.004441274029140241,0.02007175767508873,0.0441903144129276,0
overlay0.80+balanced0.05+scoreprop300.15,0.022757333938625997,0.004364448605330501,0.02046416913448737,0.04349830010873765,0
overlay0.80+scoreprop300.05+scoreprop400.15,0.022722404849475183,0.004143906720110599,0.02136694332300465,0.0434271634431837,0
overlay0.70+adaptive0.15+guarded0.15,0.02271674225375491,0.0047750095154525385,0.01982864974782085,0.045260045566568666,0
overlay0.80+target30.05+scoreprop300.15,0.022708872808614486,0.004639879865666531,0.019749572670620663,0.042815592873238106,0
overlay0.80+guarded_v20.15+scoreprop300.05,0.02270331095912838,0.0047374515878055995,0.01976614222856038,0.04478843725432033,0
overlay0.80+guarded_v20.05+scoreprop400.15,0.022666705423799963,0.004429908437127102,0.021021040039408162,0.04402337930963607,0
overlay_0.80+scoreprop40_0.20,0.022660008058921415,0.004233061228485352,0.02157061269786037,0.04356683637679154,0
overlay0.70+adaptive0.15+scoreprop500.15,0.022641733659337356,0.004466507843033193,0.021970075046161122,0.043820901995547,0
overlay0.80+scoreprop300.10+scoreprop500.10,0.02264168960366381,0.004267454428567408,0.02145802046636272,0.043127158270922145,0
overlay_0.85+aggressive_0.15,0.0226392283047388,0.004923311062499408,0.02060859912814947,0.045444548382896854,0
overlay0.80+guarded0.05+scoreprop400.15,0.022635338799584057,0.004413597263525401,0.021028813649245998,0.044018001755370115,0
overlay0.80+guarded_v20.10+scoreprop400.10,0.02263477942357282,0.004619687685636295,0.020505788652627865,0.044478194056695855,0
overlay_0.75+scoreprop30_0.25,0.02262169150753463,0.003747206991866245,0.019902458056154787,0.043105383262466046,0
overlay0.80+guarded0.15+scoreprop300.05,0.02260413821727483,0.004688468557643488,0.019789471227598568,0.04476941798292919,0
overlay0.80+guarded_v20.15+scoreprop400.05,0.02260224140308288,0.0048087508644251015,0.019991329182995704,0.04493129041217808,0
overlay0.80+aggressive0.10+scoreprop300.10,0.022588898104832073,0.004441274029140241,0.02007175767508873,0.0441903144129276,0
overlay0.80+scoreprop400.15+scoreprop500.05,0.022581032103337884,0.004306918761254899,0.02171844524852612,0.0435179283698833,0
overlay0.80+adaptive0.05+aggressive0.15,0.022576754604409163,0.004873877213483799,0.02034861600137325,0.0453830474441235,0
overlay_0.85+target3_0.15,0.02257233766998129,0.00659089542643225,0.019991408783551413,0.0432102689976573,0
overlay0.80+guarded0.10+scoreprop400.10,0.022572286732658584,0.004587126999623312,0.020521323915442202,0.0444674593042185,0
overlay_0.80+guarded_v2_0.20,0.022568529288055344,0.004997102018643153,0.019477659806204445,0.045382678096420104,0
overlay0.70+adaptive0.05+scoreprop300.25,0.022556373350176587,0.003702998971566243,0.019679245052439814,0.043074026574244445,0
overlay_0.85+balanced_0.15,0.022549980893260258,0.005391280791396065,0.020929030965920803,0.04457410610975657,0
overlay0.80+aggressive0.05+scoreprop400.15,0.022547027116248747,0.004413597263525401,0.021028813649245998,0.044018001755370115,0
overlay0.80+guarded_v20.15+guarded0.05,0.022537517927519547,0.004980882988496811,0.019485415508294857,0.04537733096108862,0
overlay0.70+adaptive0.10+scoreprop400.20,0.02253405953101396,0.004132814865099227,0.021047340081872395,0.0434428997448634,0
overlay0.80+balanced0.10+scoreprop300.10,0.022524357960726146,0.004757611205599241,0.02027430802659766,0.043592379239896006,0
overlay0.80+balanced0.05+scoreprop400.15,0.02251773394500111,0.004570473382082781,0.021129346880637057,0.04372620373211317,0
overlay0.80+target30.05+scoreprop400.15,0.022514549756204063,0.004890608862844467,0.020427193390272602,0.0432511173555503,0
overlay0.80+guarded_v20.15+scoreprop500.05,0.022512870386181116,0.004878049097690372,0.02019922394107493,0.04489764305391716,0
overlay0.80+adaptive0.05+target30.15,0.0225098639696457,0.006541461577416655,0.019979490205196695,0.043148768058830334,0
overlay0.80+guarded0.15+scoreprop400.05,0.02250885769935168,0.004760001978203823,0.020014614169490963,0.044915218702179294,0
