feature,direction,top_k,power,mean,min,max,neg,vals
ret_15d_rank,low,30,1.5,0.009866337591581648,-0.02755315011726698,0.037812620174609624,3,"0.01877,0.00911,0.01477,0.02793,0.01109,0.00277,0.02838,-0.00150,0.03781,0.00501,-0.00820,-0.02755"
ret_15d,low,30,1.0,0.009795137999189164,-0.028929468583005626,0.03846002045560974,3,"0.01915,0.01069,0.01273,0.02629,0.01305,0.00265,0.02746,-0.00166,0.03846,0.00496,-0.00730,-0.02893"
ret_15d_rank,low,30,1.0,0.009795137999189164,-0.028929468583005626,0.03846002045560974,3,"0.01915,0.01069,0.01273,0.02629,0.01305,0.00265,0.02746,-0.00166,0.03846,0.00496,-0.00730,-0.02893"
close_over_ma20,low,40,1.5,0.009764167948413715,-0.019148058760459108,0.032787654644436254,4,"0.02748,0.01551,0.03279,0.01066,0.01482,-0.01915,0.03096,-0.00563,0.01213,0.00532,-0.00607,-0.00164"
ret_15d,low,30,0.7,0.009717975568983326,-0.029803303730732658,0.03844186040234798,3,"0.01951,0.01175,0.01156,0.02487,0.01455,0.00243,0.02718,-0.00204,0.03844,0.00474,-0.00659,-0.02980"
ret_15d_rank,low,30,0.7,0.009717975568983326,-0.029803303730732658,0.03844186040234798,3,"0.01951,0.01175,0.01156,0.02487,0.01455,0.00243,0.02718,-0.00204,0.03844,0.00474,-0.00659,-0.02980"
close_over_ma20,low,30,1.0,0.009711402587015182,-0.01900406264349208,0.03522799049514139,4,"0.02777,0.01435,0.03523,0.01107,0.01424,-0.01900,0.03137,-0.00599,0.01153,0.00537,-0.00677,-0.00263"
close_over_ma20,low,40,2.0,0.009668923676152614,-0.01929155710926593,0.03745164291551967,4,"0.02829,0.01561,0.03745,0.00988,0.01347,-0.01929,0.03188,-0.00778,0.01117,0.00490,-0.00739,-0.00216"
close_over_ma20,low,50,2.0,0.009628339692592972,-0.019291358594769645,0.03136016991534249,4,"0.02707,0.01548,0.03136,0.01155,0.01490,-0.01929,0.03041,-0.00548,0.01228,0.00481,-0.00570,-0.00185"
ret_15d,low,40,2.0,0.009627535977596571,-0.027807727303895892,0.0369562798248681,3,"0.01946,0.00967,0.01324,0.02629,0.01255,0.00202,0.02876,-0.00254,0.03696,0.00448,-0.00753,-0.02781"
ret_15d_rank,low,40,2.0,0.009627535977596571,-0.027807727303895892,0.0369562798248681,3,"0.01946,0.00967,0.01324,0.02629,0.01255,0.00202,0.02876,-0.00254,0.03696,0.00448,-0.00753,-0.02781"
ret_5d,low,40,1.5,0.009562243129614598,-0.03442971662848457,0.03285754487726567,4,"0.01903,0.03286,0.01572,0.01614,-0.01504,-0.01776,0.02201,-0.03443,0.02858,-0.01213,0.03234,0.02742"
ret_5d_rank,low,40,1.5,0.009562243129614598,-0.03442971662848457,0.03285754487726567,4,"0.01903,0.03286,0.01572,0.01614,-0.01504,-0.01776,0.02201,-0.03443,0.02858,-0.01213,0.03234,0.02742"
