blend,mean,min,max,neg,vals
best0.50+sp400.50,0.02310459558104315,0.009287163693739105,0.03972942006189928,0,"0.01698,0.00929,0.02536,0.02291,0.02418,0.01740,0.01546,0.03664,0.03973"
best0.60+t30.40,0.02304647319002365,0.009287163693739105,0.03907017588325008,0,"0.01482,0.00929,0.02109,0.03357,0.02789,0.01043,0.02012,0.03114,0.03907"
best0.70+reg0.15+sp400.15,0.02296805547284222,0.0113873206009672,0.03457393136561515,0,"0.02259,0.01139,0.02416,0.03106,0.02632,0.01140,0.01217,0.03305,0.03457"
best0.55+lgbreg0.45,0.022880292762141572,0.009287163693739105,0.03669294649666201,0,"0.01507,0.00929,0.02462,0.03018,0.02216,0.02218,0.01288,0.03286,0.03669"
best0.75+reg0.20+sp400.05,0.022698501011649445,0.009186363842155723,0.03304232918783501,0,"0.02422,0.01209,0.02374,0.03304,0.02679,0.00919,0.01092,0.03164,0.03266"
best0.40+sp300.60,0.022633119948105265,0.009287163693739105,0.04048477426007877,0,"0.01737,0.00929,0.02941,0.01705,0.02662,0.01173,0.01755,0.04048,0.03420"
best0.60+reg0.10+sp400.30,0.022565486658657596,0.010687268298557838,0.03589476727741636,0,"0.02024,0.01069,0.02452,0.02686,0.02512,0.01297,0.01297,0.03383,0.03589"
best0.45+sp400.55,0.02243247230566576,0.009287163693739105,0.03913292958145902,0,"0.01626,0.00929,0.02530,0.02068,0.02344,0.01675,0.01501,0.03602,0.03913"
best0.65+reg0.15+sp400.20,0.022295932197464823,0.010752918455008212,0.03397744088517489,0,"0.02188,0.01139,0.02410,0.02884,0.02559,0.01075,0.01172,0.03242,0.03398"
best0.55+t30.45,0.022199053796924474,0.008741089328475352,0.03824215726036867,0,"0.01366,0.00929,0.02048,0.03212,0.02744,0.00874,0.02015,0.02967,0.03824"
best0.50+lgbreg0.50,0.022108566587399847,0.009287163693739105,0.03569279334447985,0,"0.01406,0.00929,0.02446,0.02852,0.02112,0.02199,0.01210,0.03174,0.03569"
best0.70+reg0.20+sp400.10,0.02202637773627205,0.008535920274822362,0.032060114492933445,0,"0.02351,0.01209,0.02368,0.03082,0.02606,0.00854,0.01048,0.03101,0.03206"
best0.55+reg0.10+sp400.35,0.0218933633832802,0.010687268298557838,0.03529827679697613,0,"0.01953,0.01069,0.02446,0.02464,0.02439,0.01232,0.01252,0.03320,0.03530"
best0.40+sp400.60,0.021760349030288357,0.009287163693739105,0.038536439101018796,0,"0.01555,0.00929,0.02524,0.01846,0.02271,0.01610,0.01457,0.03539,0.03854"
best0.75+reg0.25,0.02175682327507927,0.0063189220946365116,0.032796281746512806,0,"0.02514,0.01279,0.02326,0.03280,0.02653,0.00632,0.00923,0.02960,0.03014"
best0.60+reg0.15+sp400.25,0.02162380892208743,0.010102474887674837,0.033380950404734655,0,"0.02116,0.01139,0.02404,0.02662,0.02486,0.01010,0.01128,0.03179,0.03338"
best0.65+reg0.20+sp400.15,0.021354254460894655,0.007885476707488986,0.03146362401249321,0,"0.02280,0.01209,0.02362,0.02859,0.02533,0.00789,0.01003,0.03038,0.03146"
best0.50+t30.50,0.021351634403825287,0.007055838290650429,0.03741413863748719,0,"0.01250,0.00929,0.01987,0.03067,0.02700,0.00706,0.02017,0.02820,0.03741"
best0.45+lgbreg0.55,0.021336840412658115,0.009287163693739105,0.03469264019229766,0,"0.01306,0.00929,0.02431,0.02686,0.02008,0.02179,0.01132,0.03062,0.03469"
best0.70+reg0.25+sp400.05,0.021084699999701875,0.005668478527303122,0.030572009506149245,0,"0.02443,0.01279,0.02320,0.03057,0.02580,0.00567,0.00879,0.02898,0.02955"
best0.55+reg0.15+sp400.30,0.020951685646710034,0.009452031320341475,0.032784459924294435,0,"0.02045,0.01139,0.02398,0.02439,0.02413,0.00945,0.01083,0.03116,0.03278"
best0.60+reg0.20+sp400.20,0.020682131185517254,0.007235033140155611,0.030867133532052962,0,"0.02209,0.01209,0.02355,0.02637,0.02460,0.00724,0.00959,0.02976,0.03087"
best0.40+lgbreg0.60,0.02056511423791639,0.009287163693739105,0.03369248704011549,0,"0.01206,0.00929,0.02416,0.02519,0.01905,0.02160,0.01054,0.02951,0.03369"
best0.45+t30.55,0.020504215010726114,0.0053705872528255205,0.03658612001460579,0,"0.01134,0.00929,0.01926,0.02922,0.02655,0.00537,0.02020,0.02673,0.03659"
