kind,key,lam_current,mean,min,max,neg,vals
pair,stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,0.75,0.06579807338686905,0.03400452630078013,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03400,0.04218,0.07761,0.06517,0.05696,0.06895,0.06363,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.5,0.06579357364530446,0.03404059722101799,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03404,0.04546,0.07761,0.06517,0.05696,0.06895,0.06027,0.06415,0.08130"
pair,stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,0.9,0.06577676590752544,0.034305469361251444,0.13272878576800093,0,"0.03431,0.06303,0.13273,0.03436,0.04415,0.07761,0.06517,0.05696,0.06895,0.06661,0.06415,0.08130"
pair,stage2_final_confidence_12w_20260509_summary_detail:hybrid_gate,0.9,0.06572484772317938,0.034164205032631886,0.13272878576800093,0,"0.03416,0.06303,0.13273,0.03436,0.04415,0.07761,0.06517,0.05696,0.06895,0.06661,0.06367,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.45,0.06571960124934038,0.03398555946135199,0.1371138960204474,0,"0.03431,0.06419,0.13711,0.03399,0.04546,0.07761,0.06517,0.05696,0.06895,0.05943,0.06415,0.08130"
pair,stage2_hybrid_gate_route_alpha_tuned_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.06570400611936371,0.033707938961605934,0.13492134089422417,0,"0.03371,0.06264,0.13492,0.03436,0.04458,0.07738,0.06517,0.05590,0.06887,0.06701,0.06338,0.08054"
pair,stage2_hybrid_alpha_ablation_12w_20260509_summary_detail:hybrid_gate_no_secondary,0.9500000000000001,0.06570400611936371,0.033707938961605934,0.13492134089422417,0,"0.03371,0.06264,0.13492,0.03436,0.04458,0.07738,0.06517,0.05590,0.06887,0.06701,0.06338,0.08054"
pair,stage2_hybrid_alpha_ablation_12w_20260509_summary_detail:hybrid_gate_no_route,0.9500000000000001,0.06569557560798531,0.033707938961605934,0.13492134089422417,0,"0.03371,0.06264,0.13492,0.03412,0.04445,0.07738,0.06417,0.05590,0.06887,0.06758,0.06338,0.08124"
pair,stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,0.7000000000000001,0.06565102854325379,0.033887236597400554,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03389,0.04153,0.07761,0.06517,0.05696,0.06895,0.06264,0.06415,0.08130"
pair,stage2_shapegrid_regularized_12w_20260509_summary_detail:hybrid_gate,0.9,0.06564900403238115,0.034164205032631886,0.13272878576800093,0,"0.03416,0.06295,0.13273,0.03433,0.04413,0.07715,0.06517,0.05696,0.06879,0.06657,0.06367,0.08118"
pair,stage2_hybrid_gate_regularized_top30_12w_20260509_summary_detail:hybrid_gate,0.9,0.06564736683971012,0.034164205032631886,0.13272878576800093,0,"0.03416,0.06295,0.13273,0.03431,0.04413,0.07715,0.06517,0.05696,0.06879,0.06657,0.06367,0.08118"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.4,0.06564562885337631,0.033930521701685985,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03393,0.04546,0.07761,0.06517,0.05696,0.06895,0.05860,0.06415,0.08130"
pair,stage2_hybrid_gate_secondary_alpha_v2_12w_20260509_summary_detail:hybrid_gate,0.9,0.06559680839584743,0.034131128926053966,0.13272878576800093,0,"0.03416,0.06295,0.13273,0.03413,0.04370,0.07715,0.06517,0.05696,0.06879,0.06657,0.06367,0.08118"
pair,stage2_hybrid_gate_regime_liquidity_alpha_tuned_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.06558958891620392,0.033707938961605934,0.13492134089422417,0,"0.03371,0.06264,0.13492,0.03412,0.04445,0.07738,0.06417,0.05590,0.06887,0.06701,0.06338,0.08054"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.35000000000000003,0.06557165645741221,0.03387548394201999,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03388,0.04546,0.07761,0.06517,0.05696,0.06895,0.05777,0.06415,0.08130"
pair,stage2_hybrid_alpha_ablation_12w_20260509_summary_detail:hybrid_gate_no_liquidity,0.9500000000000001,0.0655611034289261,0.03370143231521554,0.13354793939675025,0,"0.03370,0.06212,0.13355,0.03436,0.04458,0.07738,0.06517,0.05569,0.06827,0.06758,0.06309,0.08124"
pair,stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,0.8500000000000001,0.0655440242925437,0.034239105707539276,0.13053623064177775,0,"0.03431,0.06419,0.13054,0.03424,0.04349,0.07761,0.06517,0.05696,0.06895,0.06561,0.06415,0.08130"
pair,stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,0.65,0.06550398369963857,0.03376994689402098,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03377,0.04087,0.07761,0.06517,0.05696,0.06895,0.06164,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.30000000000000004,0.06549768406144817,0.03382044618235399,0.1371138960204474,0,"0.03431,0.06419,0.13711,0.03382,0.04546,0.07761,0.06517,0.05696,0.06895,0.05694,0.06415,0.08130"
