n,topk,power,mix_agg,mean,min,max,neg,keys,vals
8,30,2.5,0.25,0.068669141656321,0.036177549356717076,0.14464274108122552,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap|stage2_final_confidence_12w_20260509_summary_detail:hybrid_gate|stage2_shapegrid_regularized_12w_20260509_summary_detail:hybrid_gate,"0.03697,0.06092,0.14464,0.03618,0.03720,0.07354,0.06806,0.06740,0.08059,0.06692,0.06946,0.08216"
2,30,2.5,0.75,0.06864586720393899,0.03782568558318135,0.13898974975367276,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03783,0.06419,0.13899,0.04128,0.04709,0.07632,0.06697,0.06038,0.07280,0.07004,0.06616,0.08171"
6,30,2.5,0.5,0.06863227301418799,0.036070214318932634,0.14220756949907684,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03607,0.06309,0.14221,0.03819,0.03969,0.07493,0.06757,0.06380,0.07669,0.07106,0.06818,0.08212"
4,35,2.5,0.5,0.0686122603879053,0.03589472052879713,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03589,0.06419,0.14061,0.03819,0.04564,0.07493,0.06417,0.06380,0.07669,0.06895,0.06818,0.08212"
2,40,2.5,0.5,0.06855317296597208,0.036323675545000045,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03632,0.06419,0.14061,0.03988,0.04397,0.07493,0.06085,0.06380,0.07669,0.07110,0.06818,0.08212"
3,35,2.5,0.5,0.06855302360278238,0.03628356243610758,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03628,0.06419,0.14061,0.03897,0.04400,0.07493,0.06417,0.06380,0.07669,0.06870,0.06818,0.08212"
5,30,2.0,0.0,0.06853634787928838,0.0349513432865328,0.14356136103649006,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03495,0.05999,0.14356,0.03863,0.04675,0.06422,0.06308,0.06645,0.07695,0.07954,0.06957,0.07874"
5,40,2.5,0.0,0.06852294179718176,0.03304673947466045,0.13135030939321232,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03305,0.06418,0.13135,0.03817,0.04455,0.07212,0.05586,0.07017,0.08454,0.07315,0.07218,0.08295"
3,50,2.5,0.0,0.06847281733181139,0.032044061497555475,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03204,0.06418,0.14351,0.03855,0.04248,0.07212,0.04604,0.07017,0.08454,0.07292,0.07218,0.08295"
4,30,2.5,0.75,0.0683484791674503,0.0369585097085052,0.13898974975367276,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03696,0.06419,0.13899,0.03859,0.04777,0.07632,0.06697,0.06038,0.07280,0.06934,0.06616,0.08171"
