as_of,start,end,top_k,temperature,rank_blend,n_names,excess_return
20260331,20260401,20260408,50,0.45,1.0,50,0.017543240026627355
20260331,20260401,20260408,50,0.65,0.7,50,0.018356266514625977
20260331,20260401,20260408,50,0.65,0.9,50,0.018356266514625977
20260331,20260401,20260408,50,0.65,1.0,50,0.018356266514625963
20260331,20260401,20260408,50,0.85,0.7,50,0.018857429334603805
20260331,20260401,20260408,50,0.85,0.9,50,0.018857429334603805
20260331,20260401,20260408,50,0.85,1.0,50,0.01885742933460379
20260331,20260401,20260408,50,1.1,0.7,50,0.018624997018412436
20260331,20260401,20260408,50,1.1,0.9,50,0.018624997018412436
20260331,20260401,20260408,50,1.1,1.0,50,0.018624997018412436
20260331,20260401,20260408,60,0.35,0.7,60,0.017459219442542542
20260331,20260401,20260408,60,0.35,0.9,60,0.01745921944254257
20260331,20260401,20260408,60,0.35,1.0,60,0.017459219442542556
20260331,20260401,20260408,60,0.45,0.7,60,0.017574498627668432
20260331,20260401,20260408,60,0.45,0.9,60,0.01757449862766844
20260331,20260401,20260408,60,0.45,1.0,60,0.017574498627668432
20260331,20260401,20260408,60,0.65,0.7,60,0.0187943135851971
20260331,20260401,20260408,60,0.65,0.9,60,0.018794313585197127
20260331,20260401,20260408,60,0.65,1.0,60,0.018794313585197085
20260331,20260401,20260408,60,0.85,0.7,60,0.018679245310580586
20260331,20260401,20260408,60,0.85,0.9,60,0.01867924531058058
20260331,20260401,20260408,60,0.85,1.0,60,0.01867924531058056
20260331,20260401,20260408,60,1.1,0.7,60,0.01832235616873
20260331,20260401,20260408,60,1.1,0.9,60,0.018322356168730007
20260331,20260401,20260408,60,1.1,1.0,60,0.018322356168729986
20260331,20260401,20260408,80,0.35,0.7,80,0.017561712223375783
20260331,20260401,20260408,80,0.35,0.9,80,0.01756171222337581
20260331,20260401,20260408,80,0.35,1.0,80,0.017561712223375797
20260331,20260401,20260408,80,0.45,0.7,80,0.01864679795420599
20260331,20260401,20260408,80,0.45,0.9,80,0.018646797954205985
20260331,20260401,20260408,80,0.45,1.0,80,0.018646797954206
20260331,20260401,20260408,80,0.65,0.7,80,0.018549168871946742
20260331,20260401,20260408,80,0.65,0.9,80,0.018549168871946742
20260331,20260401,20260408,80,0.65,1.0,80,0.018549168871946763
20260331,20260401,20260408,80,0.85,0.7,80,0.018033183360578395
20260331,20260401,20260408,80,0.85,0.9,80,0.018033183360578395
20260331,20260401,20260408,80,0.85,1.0,80,0.018033183360578395
