factor,direction,gamma,power,max_weight,mean,min,max,neg,delta_mean,delta_min
ret_20d,high,5.0,1.0,0.1,0.05740982290743471,0.024892996527762192,0.08675666423595366,0,-0.0002793437592319495,-0.00706700347223781
ret_60d,high,3.0,1.0,0.1,0.05739195479909787,0.024315799386667836,0.10004828882788297,0,-0.00029721186756878626,-0.007644200613332167
ret_1d,low,0.5,3.0,0.1,0.057382598480772984,0.031722262326523386,0.09559165615962598,0,-0.00030656818589367557,-0.0002377376734766165
vol_20d_rank,low,0.5,2.0,0.1,0.057372510108430204,0.03222937309612044,0.09154674395914925,0,-0.00031665655823645555,0.00026937309612043436
ret_1d,low,0.5,2.0,0.1,0.05732711002547033,0.03162610613328067,0.09588263644129183,0,-0.00036205664119633163,-0.00033389386671933
ret_20d,high,1.0,2.0,0.1,0.05732463628239568,0.03032577704325638,0.08828323581877973,0,-0.00036453038427097795,-0.001634222956743623
turnover_ma_20d,high,1.0,2.0,0.1,0.057316730681358424,0.03177638513248241,0.09297634148756401,0,-0.00037243598530823513,-0.0001836148675175911
ret_10d,high,1.0,3.0,0.1,0.05730294246737195,0.03211192387005943,0.08375347225805554,0,-0.0003862241992947102,0.00015192387005942554
ret_1d,low,0.5,1.0,0.1,0.05729423901335806,0.0315959589266199,0.09632149724819897,0,-0.00039492765330859797,-0.00036404107338010305
ret_60d,high,1.0,3.0,0.1,0.057292335612535904,0.030003676344076073,0.09884360665798178,0,-0.0003968310541307557,-0.001956323655923929
turnover_ma_20d,high,2.0,1.0,0.1,0.05728616123395297,0.030715924099672408,0.09333491292611834,0,-0.0004030054327136892,-0.0012440759003275945
turnover_ma_20d,low,1.0,3.0,0.1,0.057284185161876666,0.03216114272143933,0.09272820171361326,0,-0.00040498150478999323,0.00020114272143932632
turnover_ma_20d,low,0.5,2.0,0.1,0.05728122409517156,0.03204058478990044,0.09272897192475113,0,-0.00040794257149510266,8.058478990043833e-05
vol_20d_rank,low,2.0,3.0,0.1,0.05726179264436564,0.032666443137927215,0.09075807590881976,0,-0.0004273740223010164,0.0007064431379272124
amount_z_20d,low,0.5,1.0,0.1,0.05724797766955406,0.03129345149285488,0.09485369855331804,0,-0.0004411889971126029,-0.0006665485071451205
ret_10d,high,1.0,2.0,0.1,0.057239606282527646,0.03228095097411185,0.08358309408420753,0,-0.0004495603841390139,0.00032095097411184714
ret_60d,high,5.0,1.0,0.1,0.05722389339165995,0.02219471342475072,0.1010360291100709,0,-0.00046527327500670707,-0.009765286575249284
overnight_ret,high,0.5,1.0,0.1,0.05721456685408737,0.03200261006756191,0.08522332014443473,0,-0.00047459981257928774,4.261006756190594e-05
close_over_ma20,high,1.0,1.0,0.1,0.057212336541705516,0.03186511929945651,0.08227511860482484,0,-0.00047683012496114313,-9.488070054348985e-05
turnover_ma_20d,high,1.0,3.0,0.1,0.05718761029814653,0.03160879810296583,0.09243969018487844,0,-0.0005015563685201313,-0.00035120189703417154
ret_60d,high,2.0,2.0,0.1,0.05716768128594054,0.026506755170093967,0.10102675049531565,0,-0.0005214853807261194,-0.005453244829906036
close_over_ma20,high,1.0,2.0,0.1,0.057166581536927406,0.03223765670938494,0.08224711920987754,0,-0.0005225851297392531,0.0002776567093849408
turnover_ma_20d,high,3.0,1.0,0.1,0.05715159874548642,0.030238076966911682,0.09330262819631388,0,-0.0005375679211802389,-0.0017219230330883205
intraday_ret,low,0.5,3.0,0.1,0.05714309653513384,0.03143873539943798,0.091954944342581,0,-0.000546070131532822,-0.0005212646005620242
amount_z_20d,high,0.5,1.0,0.1,0.05713985883561553,0.032520503763534755,0.08826697988557003,0,-0.0005493078310511296,0.0005605037635347532
overnight_ret,high,1.0,2.0,0.1,0.05712323697620885,0.031828499718867545,0.08354762635570426,0,-0.0005659296904578087,-0.00013150028113245726
close_over_ma20,high,1.0,3.0,0.1,0.05709592236037172,0.032251500453252105,0.0821073799301916,0,-0.0005932443062949405,0.0002915004532521026
ret_20d,high,1.0,3.0,0.1,0.05706647064790657,0.030340132651026013,0.08842733515759477,0,-0.0006226960187600897,-0.0016198673489739891
drawdown_20d,low,0.5,1.0,0.1,0.057063090065237694,0.03138313454084048,0.0965564485523526,0,-0.0006260766014289654,-0.0005768654591595257
vol_20d_rank,low,1.0,2.0,0.1,0.05704540545897857,0.03237549679594014,0.08987328560040284,0,-0.0006437612076880886,0.00041549679594013456
ret_10d,high,1.0,1.0,0.1,0.057034505193440534,0.03233870678992477,0.08290338199751429,0,-0.0006546614732261258,0.0003787067899247709
intraday_ret,low,0.5,1.0,0.1,0.05703264833895918,0.03137897627151265,0.09310590283153042,0,-0.000656518327707481,-0.0005810237284873537
intraday_ret,low,0.5,2.0,0.1,0.057026591529986646,0.03131853210717222,0.09206020460017542,0,-0.0006625751366800131,-0.0006414678928277837
