top_k,temperature,rank_blend,mean,min,max,count,negative_windows
50,0.85,0.7,0.024419589506615623,0.012208579461552134,0.04405545072441609,4,0
50,0.85,0.9,0.024419589506615613,0.012208579461552158,0.044055450724416065,4,0
50,0.85,1.0,0.02441958950661561,0.012208579461552155,0.044055450724416065,4,0
40,1.1,0.9,0.024272114500498,0.011714342217019552,0.043614786698005434,4,0
40,1.1,0.7,0.02427211450049799,0.011714342217019547,0.043614786698005406,4,0
40,1.1,1.0,0.024272114500497988,0.011714342217019544,0.043614786698005406,4,0
100,0.45,0.7,0.024141464760223916,0.01234234945329641,0.04327607162073403,4,0
100,0.45,0.9,0.0241414647602239,0.0123423494532964,0.043276071620734005,4,0
100,0.45,1.0,0.0241414647602239,0.0123423494532964,0.043276071620734005,4,0
60,0.85,0.7,0.021888783798797655,0.009690563869615176,0.039259259145070155,4,0
60,0.85,0.9,0.021888783798797648,0.009690563869615176,0.039259259145070155,4,0
60,0.85,1.0,0.021888783798797645,0.009690563869615178,0.03925925914507014,4,0
80,0.65,1.0,0.02169695813389344,0.009926478412152228,0.03875208009428571,4,0
80,0.65,0.7,0.021696958133893437,0.009926478412152212,0.03875208009428571,4,0
80,0.65,0.9,0.021696958133893433,0.009926478412152218,0.03875208009428571,4,0
50,1.1,0.9,0.02147787791099295,0.009055060790376695,0.03895312094428642,4,0
50,1.1,0.7,0.021477877910992947,0.009055060790376681,0.03895312094428641,4,0
50,1.1,1.0,0.021477877910992944,0.009055060790376695,0.03895312094428639,4,0
60,1.1,0.9,0.01903030968900711,0.006966437328316712,0.034340121114979055,4,0
60,1.1,0.7,0.019030309689007104,0.0069664373283167096,0.03434012111497904,4,0
60,1.1,1.0,0.019030309689007104,0.0069664373283167096,0.03434012111497904,4,0
100,0.65,0.7,0.018989838311256835,0.007881618142852554,0.033577951978988635,4,0
100,0.65,1.0,0.01898983831125683,0.007881618142852547,0.03357795197898862,4,0
100,0.65,0.9,0.01898983831125682,0.007881618142852546,0.03357795197898861,4,0
80,0.85,0.7,0.0183376951508379,0.007189144038740904,0.032686951191828045,4,0
80,0.85,1.0,0.018337695150837892,0.007189144038740917,0.03268695119182803,4,0
80,0.85,0.9,0.018337695150837892,0.007189144038740908,0.03268695119182803,4,0
100,0.85,0.7,0.015716999531955097,0.005896340191747385,0.027353580375332587,4,0
100,0.85,1.0,0.015716999531955093,0.005896340191747383,0.027353580375332587,4,0
100,0.85,0.9,0.015716999531955086,0.005896340191747382,0.027353580375332573,4,0
80,1.1,1.0,0.015614832725044386,0.0054415240496907494,0.02774814839675932,4,0
80,1.1,0.7,0.015614832725044386,0.005441524049690746,0.02774814839675932,4,0
80,1.1,0.9,0.015614832725044377,0.005441524049690746,0.027748148396759306,4,0
100,1.1,0.7,0.013004675757442321,0.004742385157090374,0.02192430550360809,4,0
100,1.1,1.0,0.013004675757442317,0.004742385157090368,0.02192430550360809,4,0
100,1.1,0.9,0.013004675757442316,0.00474238515709037,0.02192430550360809,4,0
