feature,direction,top_k,power,mean,min,max,neg,vals
ret_5d,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
ret_5d_rank,low,40,1.0,0.00919528450326184,-0.031466257032225525,0.03306638966541976,4,"0.01864,0.03307,0.01224,0.01490,-0.01308,-0.01785,0.02233,-0.03147,0.02780,-0.01252,0.02972,0.02656"
excess_ret_5d,low,30,0.7,0.009153206643026112,-0.03388445772824273,0.03432917487044126,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
excess_ret_5d_rank,low,30,0.7,0.009153206643026112,-0.03388445772824273,0.03432917487044126,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
ret_5d,low,30,0.7,0.009153206643026112,-0.03388445772824273,0.03432917487044126,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
ret_5d_rank,low,30,0.7,0.009153206643026112,-0.03388445772824273,0.03432917487044126,4,"0.01962,0.03433,0.01274,0.01393,-0.01480,-0.01957,0.02179,-0.03388,0.02730,-0.01152,0.03335,0.02656"
close_over_ma20,low,60,1.5,0.009136734831075249,-0.017772407223608053,0.027356822326311134,4,"0.02551,0.01527,0.02220,0.01405,0.01614,-0.01777,0.02736,-0.00333,0.01344,0.00315,-0.00431,-0.00206"
drawdown_20d,low,40,1.5,0.00902945355539287,-0.01829534640530972,0.05153638902687159,4,"0.01798,-0.01557,0.05154,0.01761,-0.00266,-0.01830,0.02722,0.00107,0.01649,0.01458,0.00110,-0.00271"
drawdown_20d_rank,low,40,1.5,0.00902945355539287,-0.01829534640530972,0.05153638902687159,4,"0.01798,-0.01557,0.05154,0.01761,-0.00266,-0.01830,0.02722,0.00107,0.01649,0.01458,0.00110,-0.00271"
close_over_ma20,low,50,0.7,0.009019547011307553,-0.017947691482791267,0.026610505457951517,4,"0.02449,0.01552,0.01890,0.01557,0.01662,-0.01795,0.02661,-0.00235,0.01356,0.00279,-0.00333,-0.00218"
excess_ret_5d,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
excess_ret_5d_rank,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
ret_5d,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
ret_5d_rank,low,40,0.7,0.008898499824833109,-0.02946072395365168,0.03302179446286112,4,"0.01823,0.03302,0.01038,0.01415,-0.01177,-0.01761,0.02243,-0.02946,0.02706,-0.01264,0.02722,0.02577"
excess_ret_5d,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
excess_ret_5d_rank,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
ret_5d,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
ret_5d_rank,low,50,1.5,0.008829632495636104,-0.031196438701242127,0.03242935048214877,4,"0.01839,0.03243,0.01217,0.01501,-0.01351,-0.01716,0.02149,-0.03120,0.02687,-0.01198,0.02727,0.02619"
close_over_ma20,low,80,2.0,0.008789899167012054,-0.016354608612625998,0.025938952824041964,4,"0.02594,0.01425,0.01910,0.01455,0.01613,-0.01635,0.02556,-0.00305,0.01359,0.00203,-0.00400,-0.00227"
close_over_ma20,low,60,1.0,0.008781311291221146,-0.01645478496984476,0.025410143054686793,4,"0.02500,0.01503,0.01754,0.01521,0.01663,-0.01645,0.02541,-0.00259,0.01391,0.00194,-0.00390,-0.00234"
drawdown_20d,low,50,2.0,0.008587807683360288,-0.017822056301523337,0.04921816264411752,5,"0.01765,-0.01506,0.04922,0.01720,-0.00240,-0.01782,0.02658,0.00082,0.01588,0.01368,-0.00049,-0.00221"
drawdown_20d_rank,low,50,2.0,0.008587807683360288,-0.017822056301523337,0.04921816264411752,5,"0.01765,-0.01506,0.04922,0.01720,-0.00240,-0.01782,0.02658,0.00082,0.01588,0.01368,-0.00049,-0.00221"
excess_ret_5d,low,60,2.0,0.00856991562096467,-0.031197559674241176,0.03176958353772568,4,"0.01833,0.03177,0.01178,0.01505,-0.01362,-0.01695,0.02102,-0.03120,0.02618,-0.01188,0.02635,0.02600"
excess_ret_5d_rank,low,60,2.0,0.00856991562096467,-0.031197559674241176,0.03176958353772568,4,"0.01833,0.03177,0.01178,0.01505,-0.01362,-0.01695,0.02102,-0.03120,0.02618,-0.01188,0.02635,0.02600"
ret_5d,low,60,2.0,0.00856991562096467,-0.031197559674241176,0.03176958353772568,4,"0.01833,0.03177,0.01178,0.01505,-0.01362,-0.01695,0.02102,-0.03120,0.02618,-0.01188,0.02635,0.02600"
