n,topk,power,mix_agg,mean,min,max,neg,keys,vals
3,50,2.0,0.75,0.06475741740909967,0.03335094381217665,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03363,0.06314,0.13711,0.03335,0.04305,0.07426,0.05920,0.05933,0.07095,0.05689,0.06551,0.08066"
2,35,1.6,0.75,0.06471923298616684,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03292,0.06170,0.13545,0.03408,0.04539,0.07221,0.06229,0.05825,0.06914,0.06093,0.06468,0.07958"
2,50,2.0,0.25,0.06465387054917929,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03227,0.06104,0.13711,0.03445,0.04367,0.06756,0.04660,0.06408,0.07495,0.06651,0.06822,0.07938"
2,40,1.6,0.75,0.06453533521164682,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03292,0.06170,0.13545,0.03408,0.04504,0.07221,0.06044,0.05825,0.06914,0.06093,0.06468,0.07958"
4,35,2.0,0.75,0.06452247725502123,0.033626023949301774,0.1305025326214447,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03363,0.06314,0.13050,0.03415,0.03669,0.07426,0.06371,0.05933,0.07095,0.06174,0.06551,0.08066"
3,60,2.0,0.75,0.06445635614163998,0.03333030670089022,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03363,0.06314,0.13711,0.03333,0.04181,0.07426,0.05741,0.05933,0.07095,0.05633,0.06551,0.08066"
2,80,2.0,0.5,0.06439118233816392,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04426,0.07091,0.04508,0.06171,0.07295,0.06443,0.06686,0.08002"
2,100,2.0,0.5,0.06439118233816392,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04426,0.07091,0.04508,0.06171,0.07295,0.06443,0.06686,0.08002"
4,30,1.6,0.75,0.06434751287632395,0.03291818740776864,0.13241014942295712,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03292,0.06170,0.13241,0.03404,0.03779,0.07221,0.06486,0.05825,0.06914,0.06459,0.06468,0.07958"
2,50,1.6,0.75,0.0643282968696546,0.03291818740776864,0.13545144448668334,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03292,0.06170,0.13545,0.03408,0.04504,0.07221,0.05795,0.05825,0.06914,0.06093,0.06468,0.07958"
