mode,alpha_lstm,risk_penalty,top_k,rank_power,confidence_power,mean_excess,min_excess,std_excess,sum_excess,mean_port,count,utility
legacy,0.95,0.45,35,1.6,2.0,0.026414596770841913,0.02546206464971456,0.0015183596956660562,0.07924379031252574,0.029192821490720305,3,0.037644771908863554
legacy,0.95,0.3,35,2.0,3.0,0.029000345186127884,0.021468125434190133,0.006988648017333203,0.08700103555838365,0.031778569906006277,3,0.037612704428913464
legacy,0.95,0.45,40,2.0,2.0,0.026599177974337446,0.024882615588304735,0.001548277922154336,0.07979753392301234,0.029377402694215838,3,0.03756411330075143
legacy,0.95,0.2,35,1.6,3.0,0.029628227544885602,0.020347324880327644,0.008428867027400063,0.0888846826346568,0.032406452264764,3,0.03752019368692303
legacy,0.85,0.2,40,1.35,3.0,0.028873641001298463,0.02135319649638351,0.006527128104051847,0.08662092300389539,0.031651865721176856,3,0.03750351020906327
legacy,0.95,0.3,40,1.6,2.0,0.02703554884527927,0.0236488458302268,0.003068021660214557,0.08110664653583781,0.029813773565157662,3,0.03721732621984915
legacy,0.9,0.45,35,2.0,2.5,0.02683804876151502,0.024001221500143978,0.0030948407978931072,0.08051414628454506,0.029616273481393413,3,0.03717437231689584
legacy,0.85,0.3,40,1.35,2.5,0.027597562313080543,0.02238166678439861,0.004645766107441019,0.08279268693924163,0.03037578703295894,3,0.03697244744994376
legacy,0.9,0.3,35,2.0,3.0,0.02857429601775847,0.020896443168206616,0.00695007265835771,0.08572288805327541,0.03135252073763686,3,0.03693518454469779
legacy,0.9,0.45,40,2.0,2.0,0.02586524290159668,0.024972531248685537,0.001311157861625456,0.07759572870479003,0.02864346762147507,3,0.03690620828426135
legacy,0.9,0.45,35,1.35,2.0,0.025998032810004814,0.024653455582168853,0.0013911229000669568,0.07799409843001444,0.028776257529883206,3,0.036883419386970755
legacy,0.95,0.2,35,1.35,2.5,0.028508450717381978,0.020833070449664134,0.006850746293520616,0.08552535215214593,0.031286675437260374,3,0.03685572047570275
legacy,0.9,0.3,35,1.6,2.5,0.027865485250713917,0.02167802313526472,0.0056900600876229526,0.08359645575214175,0.03064370997059231,3,0.036767086648439605
legacy,0.9,0.2,35,1.6,3.0,0.029074281639452384,0.01979311161484148,0.008339233890899224,0.08722284491835715,0.031852506359330776,3,0.03673029678249617
legacy,0.9,0.2,40,1.6,2.5,0.027923245144336122,0.021452309453616522,0.005689864418897415,0.08376973543300836,0.030701469864214515,3,0.036723304735628945
