feature,direction,top_k,power,mean_excess,min_excess,max_excess,neg_windows,asof_20260130,asof_20260309,asof_20260421,asof_20260428,vals
ret_min_20d_rank,low,30,2,-0.002212060312357187,-0.03374782534236665,0.056603348625193436,7,-0.03109923769415906,0.002244885127657501,-0.028768783319579078,0.0017274089556807565,"-0.03110,-0.01040,-0.03375,0.02128,0.00224,-0.01000,-0.00863,-0.01329,0.02753,0.05660,-0.02877,0.00173"
high,low,80,4,-0.0022166881740221713,-0.045233840211643075,0.034983420514959465,7,0.011784333974835607,0.021856872717332405,-0.0023690091968598705,-0.00991365877575872,"0.01178,-0.03466,0.03498,0.02587,0.02186,-0.00008,-0.00463,0.00535,-0.04523,-0.02956,-0.00237,-0.00991"
ret_min_20d,low,80,8,-0.0022178482676123274,-0.03210453651264494,0.05651305975782224,8,-0.03210453651264494,-0.0005951401725170693,-0.027135155657131788,0.004174487099449689,"-0.03210,-0.01149,-0.02826,0.01745,-0.00060,-0.01194,-0.00759,-0.01329,0.02766,0.05651,-0.02714,0.00417"
ret_min_20d_rank,low,80,8,-0.0022178482676123274,-0.03210453651264494,0.05651305975782224,8,-0.03210453651264494,-0.0005951401725170693,-0.027135155657131788,0.004174487099449689,"-0.03210,-0.01149,-0.02826,0.01745,-0.00060,-0.01194,-0.00759,-0.01329,0.02766,0.05651,-0.02714,0.00417"
close,low,30,2,-0.002225394300862616,-0.04719293259698067,0.04424079864439133,7,0.011515301979520805,0.024596230176386277,-0.005561022796579411,-0.0035829635554666672,"0.01152,-0.03430,0.04424,0.02159,0.02460,-0.00100,-0.00757,0.00363,-0.04719,-0.03307,-0.00556,-0.00358"
turnover_trend_5_20,high,40,8,-0.0022254121188447135,-0.053892213812247625,0.092948139819166,7,0.002521438946709413,-0.010894200469123774,0.003126255889386904,-0.014326690971988916,"0.00252,-0.01506,-0.05389,0.02980,-0.01089,0.09295,-0.00012,-0.05359,-0.04022,0.03299,0.00313,-0.01433"
turnover_trend_5_20_rank,high,40,8,-0.0022254121188447135,-0.053892213812247625,0.092948139819166,7,0.002521438946709413,-0.010894200469123774,0.003126255889386904,-0.014326690971988916,"0.00252,-0.01506,-0.05389,0.02980,-0.01089,0.09295,-0.00012,-0.05359,-0.04022,0.03299,0.00313,-0.01433"
low,low,50,2,-0.002228978073593428,-0.04555183867274454,0.03436116612138411,7,0.011042297048711406,0.022345350110076573,-0.0015173764345815608,-0.00970453525592476,"0.01104,-0.03453,0.03436,0.02619,0.02235,-0.00105,-0.00431,0.00589,-0.04555,-0.02991,-0.00152,-0.00970"
ret_min_20d,low,40,4,-0.002228998720199956,-0.0347395168543216,0.059280675505178834,7,-0.03312403826158287,0.0023319358693389414,-0.02838675010256586,0.0038555260000351504,"-0.03312,-0.01201,-0.03474,0.02071,0.00233,-0.00988,-0.00936,-0.01520,0.02977,0.05928,-0.02839,0.00386"
ret_min_20d_rank,low,40,4,-0.002228998720199956,-0.0347395168543216,0.059280675505178834,7,-0.03312403826158287,0.0023319358693389414,-0.02838675010256586,0.0038555260000351504,"-0.03312,-0.01201,-0.03474,0.02071,0.00233,-0.00988,-0.00936,-0.01520,0.02977,0.05928,-0.02839,0.00386"
