factor,direction,mean_excess,min_excess,max_excess,neg_windows,vals
obv_20d_rank,low,0.003271566047760483,-0.02390364306810234,0.027957988166281807,2,"0.00334,0.02673,0.00245,0.02796,-0.02390,-0.01694"
turnover_trend_5_20,low,0.0030911423042709186,-0.010794612347521392,0.02238870865711111,4,"-0.00085,0.02034,-0.00779,-0.00474,-0.01079,0.02239"
turnover_trend_5_20_rank,low,0.0030911423042709186,-0.010794612347521392,0.02238870865711111,4,"-0.00085,0.02034,-0.00779,-0.00474,-0.01079,0.02239"
ret_20d,low,0.002918173108411044,-0.024695420200556123,0.017691533256677598,1,"-0.02470,0.01769,0.01467,0.00361,0.00032,0.00591"
ret_20d_rank,low,0.002918173108411044,-0.024695420200556123,0.017691533256677598,1,"-0.02470,0.01769,0.01467,0.00361,0.00032,0.00591"
excess_ret_20d,low,0.002918173108411044,-0.024695420200556123,0.017691533256677598,1,"-0.02470,0.01769,0.01467,0.00361,0.00032,0.00591"
excess_ret_20d_rank,low,0.002918173108411044,-0.024695420200556123,0.017691533256677598,1,"-0.02470,0.01769,0.01467,0.00361,0.00032,0.00591"
rsi_14,low,0.0028960358503747944,-0.010834624328536501,0.010605585351888706,2,"0.00852,0.01061,0.00143,-0.00219,-0.01083,0.00984"
residual_ret_20d,low,0.0023311973657680622,-0.023247606391294452,0.020120377636779874,2,"-0.02325,0.01780,0.02012,0.01309,-0.01795,0.00418"
residual_ret_20d_rank,low,0.0023311973657680622,-0.023247606391294452,0.020120377636779874,2,"-0.02325,0.01780,0.02012,0.01309,-0.01795,0.00418"
ret_5d,high,0.002318468358121289,-0.042019662061323765,0.034806635227665084,3,"-0.01382,0.01436,0.03103,-0.04202,0.03481,-0.01045"
ret_5d_rank,high,0.002318468358121289,-0.042019662061323765,0.034806635227665084,3,"-0.01382,0.01436,0.03103,-0.04202,0.03481,-0.01045"
