cands,wg,mode,top,power,maxw,mean,median,min,max,neg,vals,objective
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,40,8,0.08,0.023113380429402544,0.010749437627935184,-0.011996761207234537,0.11899979814453009,3,"0.0070,0.0560,-0.0102,0.0264,0.0477,-0.0120,0.1190,0.0052,0.0031,-0.0037,0.0145,0.0245",-0.016859845006557624
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1:1,rerank,30,8,0.08,0.023357224266335772,0.01042989414056452,-0.012546130891691584,0.10020551976760374,3,"0.0042,0.0634,-0.0070,0.0236,0.0564,-0.0125,0.1002,0.0063,-0.0022,0.0008,0.0145,0.0326",-0.017041486026509824
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,50,8,0.08,0.02279427827071587,0.008946595508413549,-0.010943241929712015,0.11867129284944801,3,"-0.0031,0.0554,-0.0109,0.0227,0.0474,-0.0097,0.1187,0.0088,0.0025,0.0034,0.0091,0.0293",-0.017087688234587277
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,30,8,0.08,0.023871707436101106,0.010883491963662735,-0.013880566838469319,0.12692269878292012,3,"0.0043,0.0557,-0.0013,0.0245,0.0450,-0.0139,0.1269,0.0064,0.0036,-0.0083,0.0154,0.0282",-0.01719158507788167
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,40,8,0.08,0.0233971024267252,0.009875552691578065,-0.012644990387300437,0.12083157913934708,3,"-0.0028,0.0569,-0.0067,0.0233,0.0466,-0.0126,0.1208,0.0084,0.0024,0.0037,0.0113,0.0294",-0.017227225998181647
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,30,8,0.08,0.02327117145691908,0.012298660360255264,-0.01383427600052816,0.12010938798513363,3,"0.0081,0.0550,-0.0045,0.0260,0.0455,-0.0138,0.1201,0.0053,0.0025,-0.0033,0.0165,0.0219",-0.017339796035321244
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,35,8,0.08,0.02129682095314225,0.010907721219985449,-0.010037277333477316,0.07737917649408466,3,"-0.0100,0.0717,-0.0081,0.0213,0.0451,0.0006,0.0774,0.0154,-0.0001,0.0065,0.0025,0.0334",-0.01745322908094851
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,30,4,0.08,0.022803248713024058,0.009346206312682747,-0.011805684375110065,0.11720220778951353,3,"0.0045,0.0556,-0.0118,0.0270,0.0484,-0.0106,0.1172,0.0053,0.0033,-0.0045,0.0134,0.0259",-0.017476300018237162
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,35,8,0.08,0.023659244209498886,0.010245187861451656,-0.013722937276279434,0.1218366938878892,3,"-0.0024,0.0564,-0.0036,0.0236,0.0463,-0.0137,0.1218,0.0082,0.0024,0.0033,0.0123,0.0292",-0.01750096179783328
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,1:1:1:1,blend,0,0,0.1,0.016762948978917617,0.004304860022587646,-0.019472095229585082,0.05904371025721993,2,"0.0041,0.0487,-0.0195,0.0253,0.0543,-0.0048,0.0590,0.0003,0.0040,0.0002,0.0045,0.0249",-0.01762885015205714
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,1:1:1:1,blend,0,0,0.08,0.01666657627457506,0.004304860022587646,-0.019472095229585082,0.05904371025721993,2,"0.0041,0.0487,-0.0195,0.0253,0.0530,-0.0043,0.0590,0.0003,0.0040,0.0002,0.0045,0.0246",-0.017725222856399696
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,50,8,0.08,0.023266534837071667,0.007625833480186049,-0.012153113221688605,0.11995386385869677,3,"-0.0017,0.0581,-0.0122,0.0235,0.0503,-0.0088,0.1200,0.0066,0.0043,0.0007,0.0087,0.0298",-0.017737583051885684
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,30,3,0.08,0.022577806995743608,0.007947410249642583,-0.011211839328011508,0.11678832016980457,3,"-0.0055,0.0556,-0.0112,0.0228,0.0476,-0.0076,0.1168,0.0090,0.0026,0.0039,0.0069,0.0300",-0.017765073526170527
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:1:1,rerank,35,8,0.08,0.024820620153742447,0.011716686330808967,-0.01685247701548355,0.1271763340796419,3,"0.0072,0.0621,-0.0090,0.0222,0.0571,-0.0169,0.1272,0.0006,0.0011,-0.0028,0.0162,0.0328",-0.017775860156304998
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1:1,rerank,35,8,0.08,0.02272452536373344,0.009998770542768043,-0.012511251133391382,0.09911670342103565,3,"0.0015,0.0624,-0.0090,0.0232,0.0561,-0.0125,0.0991,0.0054,-0.0016,0.0012,0.0146,0.0323",-0.01778259415347098
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,3:2:1:1,rerank,30,8,0.08,0.024051117527837007,0.010608936899082686,-0.015034707177297033,0.12271062958786236,3,"0.0058,0.0549,-0.0046,0.0263,0.0503,-0.0150,0.1227,0.0044,0.0028,-0.0004,0.0154,0.0260",-0.017787025708816413
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,35,4,0.08,0.022537695044246686,0.008127115468824917,-0.011485861887447574,0.11704573956474727,3,"-0.0050,0.0552,-0.0115,0.0227,0.0477,-0.0078,0.1170,0.0089,0.0026,0.0036,0.0073,0.0298",-0.017915687447574387
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1:1,rerank,40,8,0.08,0.022501038600498027,0.009591634440246043,-0.012276084576421792,0.09904382451827384,3,"0.0002,0.0616,-0.0100,0.0228,0.0563,-0.0123,0.0990,0.0057,-0.0011,0.0015,0.0135,0.0328",-0.01798712181328124
