kind,formula,topk,power,cpen,full_mean,full_min,full_neg,roll_mean,roll_min,roll_neg,all_full_mean,all_full_min,all_full_neg,full_vals,roll_vals,score
static,weekly_stable_flow,50,2,0.1,-0.0012057523535192601,-0.032288987381609215,6,-0.010159987610870341,-0.032706464125099685,9,0.0029099952213768343,-0.04217983659913481,47,"-0.00676,0.00177,0.00200,0.00662,-0.02456,0.00343,0.04496,-0.00358,0.01624,-0.00695,-0.03229,-0.01536","-0.03271,-0.00992,-0.02925,-0.01208,-0.01536,-0.01433,0.00818,0.02139,0.00830,-0.01599,-0.01182,-0.01834",-0.028003104683321983
static,weekly_stable_flow,50,2,0.2,0.0007738696771148346,-0.03733670240486598,6,-0.0193453911036818,-0.03991135597498208,10,0.0020829907683423397,-0.05449440795555638,49,"-0.00870,-0.00160,0.01164,0.01740,-0.03255,0.01527,0.05575,0.01479,0.00173,-0.00350,-0.03734,-0.02361","-0.03406,-0.00718,-0.03983,-0.01604,-0.02361,-0.02542,0.00436,0.01082,-0.00066,-0.02610,-0.03452,-0.03991",-0.03252401647191143
static,weekly_stable_flow,50,2,0.35,0.0037740920753812144,-0.0348142334455906,6,-0.021998247005989003,-0.04571078718402641,10,0.001531293697370712,-0.053450907215101734,51,"-0.00868,-0.00859,0.01555,0.02152,-0.03362,0.02782,0.06101,0.02546,-0.00649,0.00965,-0.03481,-0.02352","-0.03487,-0.00792,-0.04232,-0.01775,-0.02352,-0.02581,0.00109,0.00838,-0.00455,-0.03148,-0.03951,-0.04571",-0.03182795481325219
static,weekly_stable_flow,50,4,0.0,-0.0019346586522919994,-0.02423256661104963,6,0.007784476950343357,-0.029618134932278356,5,0.0049862987586853525,-0.044472236158583686,51,"-0.02423,0.00831,-0.00745,0.00027,-0.00845,-0.01088,0.01095,-0.02281,0.04554,0.00530,-0.02375,0.00397","-0.02962,-0.01710,-0.02370,-0.00733,0.00397,0.01604,0.03356,0.05020,0.04187,-0.00704,0.01158,0.02099",-0.016789101175292552
static,weekly_stable_flow,50,4,0.1,-0.002550806191800439,-0.037874556845178244,7,-0.012407931724708395,-0.03821305728135252,9,0.0032586307549133556,-0.06053378986386473,47,"-0.01168,0.00064,0.00243,0.00689,-0.02749,-0.00148,0.04825,-0.00100,0.01828,-0.00887,-0.03787,-0.01870","-0.03821,-0.01086,-0.03386,-0.00872,-0.01870,-0.01707,0.00480,0.02164,0.00736,-0.02075,-0.01686,-0.01767",-0.032032745406836656
static,weekly_stable_flow,50,4,0.2,0.0008444705954209942,-0.03998596961180745,5,-0.01969837533989034,-0.040209347538476534,10,0.0023173201157850034,-0.06602228971021944,47,"-0.01112,-0.00373,0.01348,0.01640,-0.03429,0.01539,0.06022,0.01543,0.00034,0.00191,-0.03999,-0.02391","-0.03849,-0.00750,-0.04021,-0.01518,-0.02391,-0.02512,0.00239,0.01485,-0.00050,-0.02895,-0.03561,-0.03814",-0.032115584433326946
static,weekly_stable_flow,50,4,0.35,0.004846004745338503,-0.035542202707257255,6,-0.02056068457497957,-0.042533818800180506,10,0.001908539514256219,-0.05762801793501571,51,"-0.00821,-0.01188,0.01569,0.02064,-0.03554,0.02862,0.06998,0.02513,-0.00643,0.01551,-0.03452,-0.02082","-0.03525,-0.00600,-0.04244,-0.01396,-0.02082,-0.02583,0.00347,0.01144,-0.00304,-0.03314,-0.03862,-0.04253",-0.030578444256888763
static,weekly_stable_flow,50,8,0.0,-0.0021739823897029393,-0.03150444174811382,7,0.010513766469718966,-0.031514761637400066,5,0.005320819720292578,-0.04716374753923647,54,"-0.03150,0.00906,-0.00651,-0.00227,-0.01091,-0.01186,0.00603,-0.02526,0.05821,0.01364,-0.02792,0.00321","-0.02684,-0.01819,-0.03151,-0.00575,0.00321,0.02042,0.04599,0.06352,0.05006,-0.00269,0.01316,0.01479",-0.018695801928739812
static,weekly_stable_flow,50,8,0.1,-0.002807518207729697,-0.042614461783469164,8,-0.014454448754610506,-0.04351584118819197,9,0.003691517272588514,-0.06771433979586751,49,"-0.01725,-0.00054,0.00244,0.00653,-0.03145,-0.00057,0.04887,-0.00195,0.02665,-0.00420,-0.04261,-0.01960","-0.04352,-0.01262,-0.03675,-0.00629,-0.01960,-0.02316,0.00174,0.02191,0.00822,-0.02464,-0.02396,-0.01478",-0.03520121852525924
static,weekly_stable_flow,50,8,0.2,0.0006909082094513408,-0.04292172646579902,6,-0.019736780340374637,-0.04474658130370967,9,0.0023256776755569255,-0.07063094901895826,48,"-0.01434,-0.00619,0.01420,0.01484,-0.03448,0.01722,0.05855,0.01504,-0.00014,0.00890,-0.04292,-0.02239","-0.04475,-0.00550,-0.03957,-0.01688,-0.02239,-0.02546,0.00113,0.01932,0.00126,-0.02871,-0.03781,-0.03748",-0.03325118635911138
static,weekly_stable_flow,50,8,0.35,0.006019957603455014,-0.03724417718878402,6,-0.01934442053118356,-0.04320287541398371,10,0.0022675546105055903,-0.059940051746687116,53,"-0.00706,-0.01420,0.01552,0.01985,-0.03724,0.03076,0.07498,0.02388,-0.00693,0.02460,-0.03388,-0.01804","-0.03611,-0.00296,-0.04320,-0.01243,-0.01804,-0.02428,0.00548,0.01383,-0.00300,-0.03117,-0.03995,-0.04031",-0.029921339265034146
static,weekly_stable_flow,50,12,0.0,-0.0023067021372652854,-0.03625600012286914,7,0.010243950736776237,-0.034540552460406715,5,0.005597232301922765,-0.05049277399799408,54,"-0.03626,0.00947,-0.00347,-0.00096,-0.01346,-0.01240,0.00417,-0.02697,0.06663,0.01293,-0.03005,0.00270","-0.02570,-0.01876,-0.03454,-0.00520,0.00270,0.02018,0.04974,0.06321,0.05083,-0.00367,0.01193,0.01220",-0.02006117137978912
static,weekly_stable_flow,50,12,0.1,-0.0032570872077420424,-0.044816333312367354,8,-0.01571938557563533,-0.045650593821607494,10,0.0038556033205071768,-0.06975402494996691,50,"-0.01871,-0.00131,0.00102,0.00634,-0.03337,-0.00043,0.04686,-0.00040,0.02987,-0.00445,-0.04482,-0.01970","-0.04565,-0.01290,-0.03717,-0.00885,-0.01970,-0.02642,-0.00003,0.02102,0.00787,-0.02717,-0.02569,-0.01396",-0.03745719918350687
static,weekly_stable_flow,50,12,0.2,0.0002327833667972208,-0.04411001400636765,5,-0.0197914192337988,-0.0463844757041127,9,0.002373711388492713,-0.07047593481114996,47,"-0.01503,-0.00611,0.01434,0.01429,-0.03581,0.01928,0.05611,0.01402,0.00056,0.00814,-0.04411,-0.02286","-0.04638,-0.00406,-0.03937,-0.01813,-0.02286,-0.02557,0.00068,0.01959,0.00336,-0.02869,-0.03705,-0.03900",-0.03291378858181206
static,weekly_stable_flow,50,12,0.35,0.006074816315892676,-0.038055658874908416,6,-0.01897823664336584,-0.043457409629238594,10,0.002412281731344816,-0.06140116289471042,53,"-0.00540,-0.01484,0.01531,0.02027,-0.03806,0.03165,0.07523,0.02272,-0.00756,0.02588,-0.03389,-0.01842","-0.03571,-0.00087,-0.04346,-0.01157,-0.01842,-0.02416,0.00578,0.01392,-0.00278,-0.03090,-0.04045,-0.03913",-0.0299473524974726
static,weekly_stable_flow,70,2,0.0,0.0006705418570313978,-0.01685806109940125,7,0.004641197021189987,-0.024252174716564254,5,0.004093650468812835,-0.02903878368849358,49,"-0.01317,0.00664,-0.01054,0.00566,-0.00016,-0.00774,0.02356,-0.01557,0.02973,-0.00195,-0.01686,0.00844","-0.02425,-0.00802,-0.00677,-0.00911,0.00844,0.00297,0.01852,0.02765,0.02696,-0.00805,0.00808,0.01928",-0.015421624993490486
static,weekly_stable_flow,70,2,0.1,-0.00032624741177422653,-0.02938365837689472,6,-0.009600672644663725,-0.031055900611647966,9,0.002730227480754471,-0.035246829012856216,47,"-0.00725,0.00361,0.00113,0.00861,-0.02058,0.00550,0.04300,-0.00359,0.01403,-0.00570,-0.02938,-0.01329","-0.03106,-0.01005,-0.02477,-0.01408,-0.01329,-0.01283,0.00831,0.01874,0.00935,-0.01548,-0.01271,-0.01735",-0.026632425484305514
static,weekly_stable_flow,70,2,0.2,0.0010929166793914983,-0.034799489173580195,5,-0.018697918639858088,-0.038096032129968004,10,0.0018743788913789948,-0.047264738389834735,48,"-0.00800,0.00071,0.00978,0.01725,-0.03048,0.01530,0.05258,0.01421,0.00250,-0.00373,-0.03480,-0.02221","-0.03342,-0.00777,-0.03740,-0.01739,-0.02221,-0.02369,0.00400,0.00854,-0.00093,-0.02331,-0.03270,-0.03810",-0.030496615632298094
static,weekly_stable_flow,70,2,0.35,0.0034157990768884997,-0.033881112935430654,6,-0.022661742314218507,-0.0459692607554998,11,0.001429889342109884,-0.05250182456258902,52,"-0.00990,-0.00534,0.01504,0.02154,-0.03214,0.02610,0.05481,0.02636,-0.00542,0.00762,-0.03388,-0.02379","-0.03455,-0.00873,-0.04204,-0.02001,-0.02379,-0.02463,-0.00070,0.00607,-0.00674,-0.03043,-0.04042,-0.04597",-0.03307849846329651
static,weekly_stable_flow,70,4,0.0,-0.0005617503679377487,-0.02023256192397528,6,0.0064938998834743605,-0.027068716683050782,5,0.004628880227284495,-0.03846500097640114,50,"-0.01879,0.00736,-0.00871,0.00291,-0.00483,-0.00896,0.01634,-0.01933,0.03860,0.00228,-0.02023,0.00663","-0.02707,-0.01327,-0.01550,-0.00789,0.00663,0.00879,0.02653,0.03938,0.03597,-0.00770,0.00971,0.02236",-0.015419844756330913
static,weekly_stable_flow,70,4,0.1,-0.001564730641906835,-0.03395521773722733,6,-0.010886228029840496,-0.034433984599974446,9,0.00301157830011456,-0.047081556891277285,48,"-0.00852,0.00161,0.00198,0.00699,-0.02505,0.00201,0.04590,-0.00261,0.01665,-0.00747,-0.03396,-0.01631","-0.03443,-0.01025,-0.03033,-0.01123,-0.01631,-0.01512,0.00698,0.02112,0.00818,-0.01758,-0.01370,-0.01796",-0.028909175524426636
static,weekly_stable_flow,70,4,0.2,0.0008277223253804764,-0.037990284360911085,6,-0.01938443382408739,-0.03963984266866427,10,0.002138443737552917,-0.05764179862482229,49,"-0.00940,-0.00202,0.01205,0.01704,-0.03292,0.01530,0.05693,0.01486,0.00133,-0.00169,-0.03799,-0.02355","-0.03556,-0.00737,-0.03964,-0.01594,-0.02355,-0.02510,0.00363,0.01195,-0.00066,-0.02675,-0.03465,-0.03898",-0.03260135744668266
static,weekly_stable_flow,70,4,0.35,0.004102641040948241,-0.034593890426150506,6,-0.021570398662188323,-0.044607141995615426,10,0.0016555431512661604,-0.05431414970745123,51,"-0.00864,-0.00934,0.01555,0.02121,-0.03411,0.02793,0.06334,0.02542,-0.00631,0.01137,-0.03459,-0.02260","-0.03497,-0.00733,-0.04234,-0.01672,-0.02260,-0.02565,0.00174,0.00917,-0.00426,-0.03199,-0.03929,-0.04461",-0.03134582783823668
static,weekly_stable_flow,70,8,0.0,-0.002285987209701749,-0.027099959999671255,7,0.009305887668122905,-0.02909578970168328,5,0.005178993091481677,-0.04699696004891285,52,"-0.02710,0.00883,-0.00755,-0.00070,-0.00991,-0.01211,0.00890,-0.02441,0.05012,0.00922,-0.02531,0.00260","-0.02910,-0.01850,-0.02752,-0.00664,0.00260,0.02071,0.03963,0.05759,0.04604,-0.00603,0.01377,0.01912",-0.01801824867127942
static,weekly_stable_flow,70,8,0.1,-0.002548281357658468,-0.039991949906847284,7,-0.01313670880511558,-0.04101615531181513,9,0.0034331780024093395,-0.06450109492649972,46,"-0.01428,0.00012,0.00323,0.00709,-0.02867,-0.00211,0.04927,-0.00074,0.02079,-0.00698,-0.03999,-0.01831","-0.04102,-0.01161,-0.03523,-0.00659,-0.01831,-0.01939,0.00332,0.02226,0.00799,-0.02271,-0.01993,-0.01641",-0.0329275962004364
static,weekly_stable_flow,70,8,0.2,0.0013546556800889378,-0.04085312075627367,6,-0.019628575131174913,-0.040978142343455926,9,0.0023726191694143956,-0.06958046843124403,49,"-0.01293,-0.00461,0.01494,0.01533,-0.03450,0.01649,0.06365,0.01558,-0.00023,0.00591,-0.04085,-0.02253","-0.04098,-0.00714,-0.04027,-0.01509,-0.02253,-0.02515,0.00158,0.01673,0.00009,-0.02896,-0.03635,-0.03748",-0.032056057425491724
