factor,direction,top_k,power,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,asof_20260428_excess
peer_confirm_own_20d,low,30,4.0,0.008207473412666548,-0.024482776055062085,0.03256810093744998,3,0.012392118929665434,-0.024482776055062085
own_ret_60d,low,30,2.0,0.008198803751092255,-0.03698352527321965,0.06927247154648966,5,0.012383449268091139,0.06927247154648966
own_ret_5d,low,50,1.0,0.008179226649377236,-0.028717764658785568,0.031840214679566596,4,0.01236387216637612,0.025357683424359526
peer_confirm_own_20d,low,35,4.0,0.008119421184781336,-0.02434071995860622,0.03387758593414149,3,0.01230406670178022,-0.02434071995860622
peer_confirm_own_20d,low,50,6.0,0.008060789010470717,-0.02422144533696216,0.03400109709287463,3,0.0122454345274696,-0.02422144533696216
peer_confirm_own_20d,low,30,3.0,0.00802828766027338,-0.02426285161465199,0.03419747809424989,3,0.012212933177272267,-0.02426285161465199
peer_vol_20d,high,30,8.0,0.007984772720999409,-0.08309465985959028,0.14240719956773573,7,0.012169418237998294,0.04546762953866834
peer_vol_20d,high,50,6.0,0.0079721962779664,-0.0753017908661136,0.12842699687513254,7,0.012156841794965284,0.04904786208472042
peer_confirm_own_20d,low,35,6.0,0.007967289285390438,-0.025335943826384773,0.031365185031546505,3,0.012151934802389323,-0.025335943826384773
peer_ret_60d,low,35,4.0,0.007966129410314335,-0.05114758861057267,0.06517779458865763,5,0.012150774927313217,0.02008149121803604
peer_vol_20d,high,40,4.0,0.00794352670929324,-0.07339650502624341,0.12617959578792404,7,0.012128172226292125,0.04846544720841897
peer_vol_20d,high,30,3.0,0.007932096989844338,-0.07628220983492591,0.12947544266868105,7,0.012116742506843222,0.04884354270788786
peer_vol_20d,high,35,4.0,0.007929078914979964,-0.07702039670164433,0.13028577674390934,7,0.012113724431978848,0.04899221417291304
own_ret_60d,low,40,3.0,0.00792578071031916,-0.036852135992922294,0.06802505338127801,5,0.012110426227318045,0.06802505338127801
peer_vol_20d,high,50,4.0,0.00789270442148403,-0.06773456267377523,0.11785380717858152,6,0.012077349938482917,0.044709527826123904
peer_confirm_own_20d,low,40,8.0,0.007868925903569182,-0.025730274044563364,0.03059740017768761,3,0.012053571420568066,-0.025730274044563364
peer_vol_20d,high,35,3.0,0.007864981335802476,-0.07207484004700304,0.12368505373437427,6,0.01204962685280136,0.047645350764218386
own_ret_60d,low,30,1.5,0.007843774786069168,-0.037832179034410794,0.06430592552237079,5,0.012028420303068053,0.06430592552237079
peer_vol_20d,high,40,3.0,0.00783016638067757,-0.06852028957859556,0.118659981674405,6,0.012014811897676456,0.04467885778034961
peer_confirm_own_20d,low,40,4.0,0.007818708329645131,-0.023952009243598582,0.03438659401828957,4,0.012003353846644013,-0.023952009243598582
peer_ret_60d,low,50,6.0,0.007778528057643608,-0.05226416216740515,0.0643858194573197,5,0.011963173574642492,0.019279480062403723
peer_vol_20d,high,35,8.0,0.007774216743138783,-0.08281402085866973,0.14025510653140405,7,0.011958862260137667,0.04468908114877142
own_ret_60d,low,50,4.0,0.0077720134327501035,-0.03678053359261589,0.06729924951151209,5,0.011956658949748988,0.06729924951151209
peer_vol_20d,high,30,2.0,0.007742956190511595,-0.07010978493303685,0.12015285649899685,6,0.011927601707510477,0.0447737977054309
peer_vol_20d,high,30,4.0,0.007739496238614185,-0.07989769943153084,0.13400567011554212,7,0.011924141755613071,0.04765729449515009
peer_ret_60d,low,30,3.0,0.007724208817341639,-0.05164055925243867,0.0642248128443321,5,0.011908854334340524,0.019977258749754714
peer_vol_20d,high,30,6.0,0.007724133380749943,-0.08277471870782174,0.13976752781336682,7,0.011908778897748828,0.044500090294928546
own_ret_60d,low,35,2.0,0.00772220125183749,-0.03760033233340166,0.06404158473939996,5,0.011906846768836373,0.06404158473939996
peer_vol_20d,high,40,6.0,0.007719765366994387,-0.07960123105853582,0.1335886513541601,7,0.011904410883993272,0.04765398055710192
peer_vol_20d,high,50,8.0,0.007713235652517295,-0.07943856895561067,0.1333767959313074,7,0.01189788116951618,0.04765653729793243
peer_vol_60d,high,40,1.5,0.007709366950981932,-0.03663222315319764,0.06713329825813097,7,0.011894012467980816,0.06713329825813097
peer_vol_20d,high,50,0.5,0.0076876149737127334,-0.04183139167640203,0.08376785937266226,6,0.011872260490711615,0.02481431703398608
peer_vol_20d,high,40,8.0,0.007648179476971284,-0.08206463225425153,0.13823138166691296,7,0.011832824993970169,0.04520424166033592
peer_confirm_own_20d,low,30,6.0,0.007646471560542355,-0.02628785473291695,0.029814378767265916,3,0.01183111707754124,-0.02628785473291695
quiet_peer_leader,low,50,0.5,0.007632163295498412,-0.012846146055299587,0.03297787895057139,4,0.011816808812497297,-0.012846146055299587
peer_vol_60d,high,35,1.0,0.007629069785895105,-0.036239462926012406,0.06640224871918607,7,0.01181371530289399,0.06640224871918607
peer_vol_20d,high,35,6.0,0.007606707592592803,-0.08147092653190244,0.1370941060365489,7,0.011791353109591687,0.04608128525856553
peer_confirm_own_20d,low,35,8.0,0.007488092893459523,-0.026434468049319225,0.029409837397040655,3,0.011672738410458407,-0.026434468049319225
peer_vol_20d,high,50,3.0,0.007470375761779501,-0.06299825957799565,0.11050250033995543,6,0.011655021278778386,0.03801650045212217
peer_vol_60d,high,30,0.5,0.007468007425803146,-0.0345773309845856,0.06575060752249309,6,0.01165265294280203,0.06575060752249309
peer_confirm_own_20d,low,35,3.0,0.0074677710393023814,-0.023896139493930164,0.034805215200985166,4,0.011652416556301266,-0.023896139493930164
peer_vol_20d,high,35,2.0,0.007424666618428205,-0.06585175626420792,0.11407710784449987,6,0.01160931213542709,0.0397528863277357
peer_vol_60d,high,50,2.0,0.00735570293187483,-0.03762503674599667,0.06473633983103522,6,0.011540348448873715,0.06473633983103522
peer_ret_60d,low,40,4.0,0.00734247144399196,-0.05310454078637659,0.06249668398662339,5,0.011527116960990845,0.018780524676025923
own_ret_10d,low,40,3.0,0.007319327372891856,-0.04226327686885151,0.06388084541844563,3,0.01150397288989074,0.012821479717741613
own_ret_10d,low,50,4.0,0.007318303402598894,-0.04189942777427769,0.06344220672595456,3,0.011502948919597779,0.012824979883473947
own_ret_10d,low,35,3.0,0.007311731936620504,-0.044362771508007326,0.06641663103756561,3,0.011496377453619387,0.012445174080711288
peer_vol_20d,high,50,1.0,0.007299099949241196,-0.04812945652196457,0.09063116806609281,6,0.011483745466240078,0.026136806019433106
own_ret_60d,low,30,1.0,0.007282224150889786,-0.038508675180923664,0.05837689054040204,5,0.01146686966788867,0.05837689054040204
peer_vol_20d,high,30,1.5,0.007272289238672634,-0.06632705539586763,0.11398315062513215,6,0.011456934755671519,0.03881873511776586
peer_vol_20d,high,40,2.0,0.007272052525261704,-0.06230998091284917,0.1090322333768308,6,0.011456698042260587,0.03606516589553484
own_ret_10d,low,30,2.0,0.00727092826090825,-0.042932581550845034,0.0643927465477616,3,0.011455573777907133,0.012572187937986201
own_ret_10d,low,30,0.5,0.00725758369349069,-0.03315854234014143,0.052558960375772096,3,0.011442229210489574,0.011212605346204732
own_ret_60d,low,35,1.5,0.007257432118431442,-0.03823852820295295,0.058775672414569574,5,0.011442077635430327,0.058775672414569574
own_ret_60d,low,50,3.0,0.0072564590425073724,-0.037658034465450574,0.060428379410251296,5,0.011441104559506256,0.060428379410251296
own_ret_60d,low,40,2.0,0.007251815975272979,-0.038038558639139464,0.05945696938239961,5,0.011436461492271862,0.05945696938239961
own_ret_10d,low,35,2.0,0.007209930920320358,-0.040292924034011385,0.06057041542241151,3,0.011394576437319242,0.012005929252350778
peer_vol_20d,high,50,2.0,0.007204952167452635,-0.05673354469496693,0.10161619694273055,6,0.01138959768445152,0.03153110656361925
peer_vol_20d,high,50,1.5,0.007182905932402582,-0.05284204749004989,0.09646624085939584,6,0.011367551449401464,0.028588884410379448
peer_vol_20d,high,40,0.5,0.0071760321467048875,-0.04823770488751114,0.09132977724693536,6,0.011360677663703772,0.02423382592657214
own_ret_10d,low,30,1.5,0.007156080105037064,-0.040282728516011446,0.06054604615076112,3,0.011340725622035948,0.011730823101909899
own_ret_10d,low,50,3.0,0.007143938304377342,-0.03860786270789529,0.0576802735905385,3,0.011328583821376225,0.011449985942292143
own_ret_10d,low,30,1.0,0.007138916266058444,-0.03701021628238582,0.056670457400390506,3,0.011323561783057328,0.011188318849384149
crowded_reversal_20d,high,30,8.0,0.007128497737099236,-0.016681712526945617,0.042855073601210276,4,0.01131314325409812,0.016472680900034092
own_ret_10d,low,35,1.5,0.007127877728615191,-0.0376780712342078,0.056489449809694045,3,0.011312523245614074,0.011338977878365714
own_ret_5d,low,50,0.5,0.007125589002380088,-0.026395992463735002,0.0301235409019908,4,0.011310234519378973,0.024363072504722832
own_ret_10d,low,40,2.0,0.007124281429928526,-0.038057534868676524,0.05675244792486707,3,0.01130892694692741,0.011340298479330796
peer_vol_20d,high,35,1.5,0.007110542166556637,-0.06169541844291386,0.10798648449658546,6,0.011295187683555521,0.034676789233405864
own_ret_10d,low,40,4.0,0.007087873028534711,-0.04513783751096129,0.0659380780609673,3,0.011272518545533594,0.011698603277077904
peer_vol_20d,high,40,1.5,0.007086892352537233,-0.05829009355260292,0.10330970761010427,5,0.011271537869536115,0.03176633854716435
