prefix,as_of,path,excess,ret,n
hybrid_gate_no_regime,20260206,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260206.csv,0.02767223811461479,0.046474623900849735,30
hybrid_gate_no_secondary,20260316,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260316.csv,0.07302950183838289,-0.01791651846765416,30
hybrid_gate_no_secondary,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_secondary_20260302.csv,0.029992515901437745,-0.01376336138396157,50
hybrid_gate_no_liquidity,20260213,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260213.csv,0.06579476354650413,0.10901969587745827,30
hybrid_gate_no_liquidity,20260206,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260206.csv,0.022690092197161053,0.041492477983395996,30
hybrid_gate_no_alpha,20260421,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_alpha_20260421.csv,0.042929065466870205,0.03490447345255205,30
hybrid_gate_no_liquidity,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260428.csv,0.08005485753819142,0.13980770131694675,30
hybrid_gate_no_liquidity,20260414,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_liquidity_20260414.csv,0.04838949476895969,0.07086046583936777,30
hybrid_gate_no_regime,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_regime_20260407.csv,0.035583418415975385,0.10392979452907163,30
hybrid_gate_no_route,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_alpha_ablation_12w_20260509/hybrid_gate_no_route_20260302.csv,0.025191797615253673,-0.01856407967014564,50
