top_k,power,mix_agg,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,avg_names,vals
30,12,0.1,0.07627367689676025,0.03758735373982469,0.16950942948922806,0,0.08045832241375912,30.833333333333332,"0.03759,0.06844,0.16951,0.03762,0.04546,0.07761,0.06763,0.07214,0.08906,0.08364,0.07015,0.09645"
80,6,0.0,0.07626655424058454,0.036418886661143894,0.16673876999629217,0,0.08045119975758341,38.583333333333336,"0.03825,0.06854,0.16674,0.03642,0.04546,0.07761,0.05353,0.07945,0.09239,0.08582,0.07469,0.09630"
30,4,0.0,0.07617927443090669,0.03695334664271546,0.15786732600571815,0,0.08036391994790557,30.833333333333332,"0.03717,0.06865,0.15787,0.03695,0.04546,0.07761,0.07044,0.07648,0.09024,0.09115,0.07190,0.09025"
50,6,0.1,0.07617671224237654,0.036261472554000286,0.16412235943264153,0,0.08036135775937543,35.833333333333336,"0.03772,0.06848,0.16412,0.03626,0.04546,0.07761,0.06865,0.07577,0.09036,0.08398,0.07146,0.09424"
30,16,0.05,0.0760486369206337,0.03744590473579562,0.17088146423748687,0,0.08023328243763257,30.833333333333332,"0.03745,0.06849,0.17088,0.03785,0.04546,0.07761,0.06657,0.07095,0.08890,0.08184,0.06999,0.09661"
35,4,0.0,0.07595892581560788,0.036661463180615965,0.15786732600571815,0,0.08014357133260676,32.083333333333336,"0.03717,0.06865,0.15787,0.03666,0.04546,0.07761,0.07019,0.07648,0.09024,0.08904,0.07190,0.09025"
60,6,0.1,0.07583334060621556,0.03620159838854291,0.16412235943264153,0,0.08001798612321444,36.916666666666664,"0.03772,0.06848,0.16412,0.03620,0.04546,0.07761,0.06568,0.07577,0.09036,0.08289,0.07146,0.09424"
30,4,0.05,0.07577672639194159,0.0369161913651532,0.15694412403997612,0,0.0799613719089405,30.833333333333332,"0.03706,0.06854,0.15694,0.03692,0.04546,0.07761,0.07013,0.07554,0.08979,0.09002,0.07149,0.08983"
30,8,0.2,0.07567941609849067,0.03703767980182649,0.16437725748679086,0,0.07986406161548955,30.833333333333332,"0.03736,0.06841,0.16438,0.03704,0.04546,0.07761,0.06847,0.07195,0.08866,0.08571,0.06889,0.09423"
35,8,0.2,0.07565024620937172,0.036825067134265733,0.16437725748679086,0,0.07983489172637061,32.083333333333336,"0.03736,0.06841,0.16438,0.03683,0.04546,0.07761,0.06842,0.07195,0.08866,0.08562,0.06889,0.09423"
40,8,0.2,0.07561314251082303,0.036879015882862326,0.16437725748679086,0,0.0797977880278219,33.333333333333336,"0.03736,0.06841,0.16438,0.03688,0.04546,0.07761,0.06809,0.07195,0.08866,0.08545,0.06889,0.09423"
30,6,0.2,0.07560269512129773,0.0370109673639303,0.16181158440463989,0,0.07978734063829661,30.833333333333332,"0.03731,0.06841,0.16181,0.03701,0.04546,0.07761,0.06882,0.07318,0.08902,0.08694,0.06923,0.09244"
80,6,0.05,0.07557355719461359,0.03630899110080719,0.16550278319463796,0,0.07975820271161248,38.583333333333336,"0.03797,0.06853,0.16550,0.03631,0.04546,0.07761,0.05411,0.07749,0.09127,0.08440,0.07295,0.09530"
50,8,0.2,0.07554282168806277,0.03660158884933364,0.16437725748679086,0,0.07972746720506166,35.833333333333336,"0.03736,0.06841,0.16438,0.03660,0.04546,0.07761,0.06827,0.07195,0.08866,0.08470,0.06889,0.09423"
35,4,0.05,0.07554159434963895,0.03656671636801162,0.15694412403997612,0,0.07972623986663784,32.083333333333336,"0.03706,0.06854,0.15694,0.03657,0.04546,0.07761,0.06995,0.07554,0.08979,0.08773,0.07149,0.08983"
60,8,0.2,0.07551539070141683,0.03658127613907776,0.16437725748679086,0,0.07970003621841569,36.916666666666664,"0.03736,0.06841,0.16438,0.03658,0.04546,0.07761,0.06835,0.07195,0.08866,0.08431,0.06889,0.09423"
35,6,0.2,0.07549925786538121,0.036752958894950095,0.16181158440463989,0,0.0796839033823801,32.083333333333336,"0.03731,0.06841,0.16181,0.03675,0.04546,0.07761,0.06856,0.07318,0.08902,0.08621,0.06923,0.09244"
40,4,0.0,0.07544152774138382,0.03617009436868458,0.15786732600571815,0,0.07962617325838271,33.333333333333336,"0.03717,0.06865,0.15787,0.03617,0.04546,0.07761,0.06836,0.07648,0.09024,0.08515,0.07190,0.09025"
40,6,0.2,0.07541459026083676,0.03669445282979908,0.16181158440463989,0,0.07959923577783563,33.333333333333336,"0.03731,0.06841,0.16181,0.03669,0.04546,0.07761,0.06857,0.07318,0.08902,0.08525,0.06923,0.09244"
80,20,0.05,0.07537985216021983,0.036458391884197486,0.1687213114602875,0,0.07956449767721871,38.583333333333336,"0.03646,0.06875,0.16872,0.03791,0.04546,0.07761,0.06984,0.06814,0.08611,0.08585,0.06544,0.09427"
60,20,0.05,0.07537566308698482,0.036458391884197486,0.1687213114602875,0,0.07956030860398369,36.916666666666664,"0.03646,0.06875,0.16872,0.03791,0.04546,0.07761,0.06979,0.06814,0.08611,0.08585,0.06544,0.09427"
30,4,0.1,0.07536380166434938,0.036872805916016306,0.15605430483587407,0,0.07954844718134825,30.833333333333332,"0.03696,0.06843,0.15605,0.03687,0.04546,0.07761,0.06982,0.07448,0.08920,0.08894,0.07110,0.08944"
60,16,0.1,0.07534480645955995,0.03665985987091297,0.16742858263585267,0,0.07952945197655885,36.916666666666664,"0.03666,0.06870,0.16743,0.03732,0.04546,0.07761,0.06937,0.06848,0.08669,0.08574,0.06608,0.09461"
